n,fill,fill_accesses,fill_bytes,rar,rar_accesses,rar_bytes
8,0.000520938,114,13680,1.66517e-05,6,720
16,0.00118134,338,40560,2.23054e-05,8,960
24,0.00199565,626,75120,5.04193e-05,18,2160
32,0.00281974,914,109680,2.75131e-05,10,1200
40,0.00377466,1266,151920,6.21773e-05,22,2640
48,0.0047653,1618,194160,6.2665e-05,22,2640
56,0.00576188,1970,236400,6.12008e-05,22,2640
64,0.00676317,2322,278640,3.29282e-05,12,1440
72,0.00788423,2738,328560,7.15232e-05,26,3120
80,0.00904996,3154,378480,7.27527e-05,26,3120
88,0.0102108,3570,428400,7.33984e-05,26,3120
96,0.0113852,3986,478320,7.2247e-05,26,3120
104,0.0125638,4402,528240,7.20405e-05,26,3120
112,0.0137341,4818,578160,7.35901e-05,26,3120
120,0.0149152,5234,628080,7.21628e-05,26,3120
128,0.0161023,5650,678000,3.85564e-05,14,1680
136,0.0173974,6130,735600,8.2466e-05,30,3600
144,0.0187081,6610,793200,8.30748e-05,30,3600
152,0.0200491,7090,850800,8.38321e-05,30,3600
160,0.0214127,7570,908400,8.30734e-05,30,3600
168,0.0227647,8050,966000,8.35848e-05,30,3600
176,0.024117,8530,1023600,8.30253e-05,30,3600
184,0.0254699,9010,1081200,8.36518e-05,30,3600
192,0.0268213,9490,1138800,8.29579e-05,30,3600
200,0.028154,9970,1196400,8.40897e-05,30,3600
208,0.0295032,10450,1254000,8.29066e-05,30,3600
216,0.0308581,10930,1311600,8.3868e-05,30,3600
224,0.0322185,11410,1369200,8.30816e-05,30,3600
232,0.0335637,11890,1426800,8.43398e-05,30,3600
240,0.0349158,12370,1484400,8.2991e-05,30,3600
248,0.0362686,12850,1542000,8.30213e-05,30,3600
256,0.0376238,13330,1599600,4.34144e-05,16,1920
264,0.0390813,13874,1664880,9.39366e-05,34,4080
272,0.0405475,14418,1730160,9.38758e-05,34,4080
280,0.042038,14962,1795440,9.3728e-05,34,4080
288,0.0435453,15506,1860720,9.42726e-05,34,4080
296,0.045063,16050,1926000,9.49231e-05,34,4080
304,0.046567,16594,1991280,9.33799e-05,34,4080
312,0.0480671,17138,2056560,9.5242e-05,34,4080
320,0.049573,17682,2121840,9.36355e-05,34,4080
328,0.0510807,18226,2187120,9.38427e-05,34,4080
336,0.0525999,18770,2252400,9.36479e-05,34,4080
344,0.0541148,19314,2317680,9.44904e-05,34,4080
352,0.0556405,19858,2382960,9.44123e-05,34,4080
360,0.0571652,20402,2448240,9.40097e-05,34,4080
368,0.0586806,20946,2513520,9.51694e-05,34,4080
376,0.0601925,21490,2578800,9.38246e-05,34,4080
384,0.0617129,22034,2644080,9.3783e-05,34,4080
392,0.0632375,22578,2709360,9.38673e-05,34,4080
400,0.0647697,23122,2774640,9.45044e-05,34,4080
408,0.0662988,23666,2839920,9.46444e-05,34,4080
416,0.0678246,24210,2905200,9.39316e-05,34,4080
424,0.0693419,24754,2970480,9.52874e-05,34,4080
432,0.0708641,25298,3035760,9.39041e-05,34,4080
440,0.0723904,25842,3101040,9.39595e-05,34,4080
448,0.0739144,26386,3166320,9.36037e-05,34,4080
456,0.0754416,26930,3231600,9.45093e-05,34,4080
464,0.0769742,27474,3296880,9.48295e-05,34,4080
472,0.0785127,28018,3362160,9.47775e-05,34,4080
480,0.0800299,28562,3427440,9.5034e-05,34,4080
488,0.0815443,29106,3492720,9.3677e-05,34,4080
496,0.0830702,29650,3558000,9.37847e-05,34,4080
504,0.0845995,30194,3623280,9.36679e-05,34,4080
512,0.0861363,30738,3688560,4.96286e-05,18,2160
520,0.0877867,31346,3761520,0.000104213,38,4560
528,0.0894273,31954,3834480,0.000104649,38,4560
536,0.0910754,32562,3907440,0.000105738,38,4560
544,0.0927191,33170,3980400,0.000105778,38,4560
552,0.0943654,33778,4053360,0.000105932,38,4560
560,0.0960178,34386,4126320,0.000105849,38,4560
568,0.0976818,34994,4199280,0.00010462,38,4560
576,0.0993599,35602,4272240,0.000104392,38,4560
584,0.101029,36210,4345200,0.000104245,38,4560
592,0.102717,36818,4418160,0.000104662,38,4560
600,0.104391,37426,4491120,0.000104672,38,4560
608,0.10608,38034,4564080,0.000104407,38,4560
616,0.107753,38642,4637040,0.000104815,38,4560
624,0.109447,39250,4710000,0.000104688,38,4560
632,0.111136,39858,4782960,0.000105182,38,4560
640,0.112828,40466,4855920,0.000105459,38,4560
648,0.11452,41074,4928880,0.000105523,38,4560
656,0.116227,41682,5001840,0.000105218,38,4560
664,0.117925,42290,5074800,0.000105421,38,4560
672,0.119625,42898,5147760,0.000105318,38,4560
680,0.121322,43506,5220720,0.00010457,38,4560
688,0.12302,44114,5293680,0.000104736,38,4560
696,0.124705,44722,5366640,0.000106259,38,4560
704,0.126399,45330,5439600,0.000106254,38,4560
712,0.128088,45938,5512560,0.000106069,38,4560
720,0.129776,46546,5585520,0.000106019,38,4560
728,0.131464,47154,5658480,0.000105986,38,4560
736,0.133155,47762,5731440,0.00010559,38,4560
744,0.134847,48370,5804400,0.000104418,38,4560
752,0.136544,48978,5877360,0.000104639,38,4560
760,0.138242,49586,5950320,0.000104566,38,4560
768,0.139938,50194,6023280,0.000104632,38,4560
776,0.141638,50802,6096240,0.000104787,38,4560
784,0.143336,51410,6169200,0.000104439,38,4560
792,0.145026,52018,6242160,0.000104542,38,4560
800,0.146733,52626,6315120,0.000104588,38,4560
808,0.14844,53234,6388080,0.000105312,38,4560
816,0.150142,53842,6461040,0.000105621,38,4560
824,0.151846,54450,6534000,0.000105668,38,4560
832,0.153549,55058,6606960,0.000105307,38,4560
840,0.155257,55666,6679920,0.000105473,38,4560
848,0.156965,56274,6752880,0.000105703,38,4560
856,0.158668,56882,6825840,0.000104778,38,4560
864,0.160371,57490,6898800,0.000104493,38,4560
872,0.162074,58098,6971760,0.000104502,38,4560
880,0.163764,58706,7044720,0.000106115,38,4560
888,0.165453,59314,7117680,0.000106255,38,4560
896,0.167143,59922,7190640,0.000105703,38,4560
904,0.168837,60530,7263600,0.000105832,38,4560
912,0.170524,61138,7336560,0.000105489,38,4560
920,0.172219,61746,7409520,0.000104675,38,4560
928,0.173917,62354,7482480,0.000104593,38,4560
936,0.175621,62962,7555440,0.000104609,38,4560
944,0.177316,63570,7628400,0.00010464,38,4560
952,0.179015,64178,7701360,0.000104572,38,4560
960,0.180712,64786,7774320,0.000104567,38,4560
968,0.182407,65394,7847280,0.000118949,38,4560
976,0.184112,66002,7920240,0.000104516,38,4560
984,0.185806,66610,7993200,0.000104699,38,4560
992,0.187513,67218,8066160,0.000104576,38,4560
1000,0.189223,67826,8139120,0.00010492,38,4560
1008,0.190932,68434,8212080,0.00010563,38,4560
1016,0.192636,69042,8285040,0.000105176,38,4560
1024,0.194345,69650,8358000,5.50529e-05,20,2400
1032,0.196205,70322,8438640,0.00011407,42,5040
1040,0.19801,70994,8519280,0.000116206,42,5040
1048,0.199831,71666,8599920,0.000116332,42,5040
1056,0.201651,72338,8680560,0.000116217,42,5040
1064,0.203476,73010,8761200,0.000116183,42,5040
1072,0.205311,73682,8841840,0.000116904,42,5040
1080,0.207163,74354,8922480,0.000116252,42,5040
1088,0.209005,75026,9003120,0.000115851,42,5040
1096,0.210852,75698,9083760,0.000115715,42,5040
1104,0.212706,76370,9164400,0.000115468,42,5040
1112,0.214567,77042,9245040,0.000115141,42,5040
1120,0.216426,77714,9325680,0.000115691,42,5040
1128,0.218275,78386,9406320,0.000115529,42,5040
1136,0.220124,79058,9486960,0.000115738,42,5040
1144,0.221976,79730,9567600,0.000115132,42,5040
1152,0.223829,80402,9648240,0.000115714,42,5040
1160,0.22568,81074,9728880,0.000116656,42,5040
1168,0.227537,81746,9809520,0.000116799,42,5040
1176,0.229378,82418,9890160,0.000116794,42,5040
1184,0.231223,83090,9970800,0.000116777,42,5040
1192,0.233067,83762,10051440,0.000116737,42,5040
1200,0.234922,84434,10132080,0.000117038,42,5040
1208,0.236782,85106,10212720,0.000115475,42,5040
1216,0.238652,85778,10293360,0.000116043,42,5040
1224,0.240515,86450,10374000,0.000116099,42,5040
1232,0.242374,87122,10454640,0.000116021,42,5040
1240,0.244237,87794,10535280,0.000116576,42,5040
1248,0.246108,88466,10615920,0.000116421,42,5040
1256,0.247976,89138,10696560,0.000116103,42,5040
1264,0.249844,89810,10777200,0.000115548,42,5040
1272,0.251711,90482,10857840,0.00011537,42,5040
1280,0.253575,91154,10938480,0.000115141,42,5040
1288,0.255435,91826,11019120,0.000115284,42,5040
1296,0.257306,92498,11099760,0.000115616,42,5040
1304,0.259174,93170,11180400,0.00011561,42,5040
1312,0.261035,93842,11261040,0.000114935,42,5040
1320,0.262908,94514,11341680,0.000117115,42,5040
1328,0.264769,95186,11422320,0.000116771,42,5040
1336,0.266617,95858,11502960,0.000116718,42,5040
1344,0.268471,96530,11583600,0.000116485,42,5040
1352,0.270332,97202,11664240,0.000116891,42,5040
1360,0.272193,97874,11744880,0.000116547,42,5040
1368,0.274069,98546,11825520,0.000115332,42,5040
