n,fill,fill_accesses,fill_bytes,read,read_accesses,read_bytes,rar,rar_accesses,rar_bytes
664,9.13481,3054780,659832480,0.00943535,3164,683424,0.00941575,3164,683424
672,9.28548,3105404,670767264,0.00944932,3164,683424,0.00942613,3164,683424
680,9.43614,3156028,681702048,0.00944052,3164,683424,0.00942861,3164,683424
688,9.58726,3206652,692636832,0.00946454,3164,683424,0.00942864,3164,683424
696,9.73813,3257276,703571616,0.00944227,3164,683424,0.00942156,3164,683424
704,9.88907,3307900,714506400,0.00944905,3164,683424,0.00944002,3164,683424
712,10.0401,3358524,725441184,0.00945313,3164,683424,0.00943811,3164,683424
720,10.1913,3409148,736375968,0.00945954,3164,683424,0.00944404,3164,683424
728,10.342,3459772,747310752,0.00943484,3164,683424,0.00943292,3164,683424
736,10.4929,3510396,758245536,0.00944428,3164,683424,0.0094318,3164,683424
744,10.6434,3561020,769180320,0.00941838,3164,683424,0.00941645,3164,683424
752,10.7941,3611644,780115104,0.00943057,3164,683424,0.0094191,3164,683424
760,10.945,3662268,791049888,0.0094658,3164,683424,0.00943558,3164,683424
768,11.0959,3712892,801984672,0.00945642,3164,683424,0.00942479,3164,683424
776,11.2467,3763516,812919456,0.00945385,3164,683424,0.00943084,3164,683424
784,11.3974,3814140,823854240,0.00943648,3164,683424,0.00942055,3164,683424
792,11.548,3864764,834789024,0.00944832,3164,683424,0.0094339,3164,683424
800,11.6989,3915388,845723808,0.00945776,3164,683424,0.00943313,3164,683424
808,11.8499,3966012,856658592,0.00944244,3164,683424,0.00943194,3164,683424
816,12.0007,4016636,867593376,0.00944843,3164,683424,0.00942416,3164,683424
824,12.1516,4067260,878528160,0.00944202,3164,683424,0.00943178,3164,683424
832,12.3023,4117884,889462944,0.00945314,3164,683424,0.00942879,3164,683424
840,12.453,4168508,900397728,0.00943372,3164,683424,0.00942076,3164,683424
848,12.6037,4219132,911332512,0.00944036,3164,683424,0.00942899,3164,683424
856,12.7545,4269756,922267296,0.00943707,3164,683424,0.00943465,3164,683424
864,12.9055,4320380,933202080,0.00945051,3164,683424,0.00943397,3164,683424
872,13.0564,4371004,944136864,0.00943801,3164,683424,0.00944243,3164,683424
880,13.2072,4421628,955071648,0.00945902,3164,683424,0.00943775,3164,683424
888,13.3582,4472252,966006432,0.0094449,3164,683424,0.0094278,3164,683424
896,13.509,4522876,976941216,0.00944412,3164,683424,0.00944025,3164,683424
904,13.6601,4573500,987876000,0.00945731,3164,683424,0.00944551,3164,683424
912,13.8109,4624124,998810784,0.00944924,3164,683424,0.00943542,3164,683424
920,13.9618,4674748,1009745568,0.00943961,3164,683424,0.00942543,3164,683424
928,14.1126,4725372,1020680352,0.00945483,3164,683424,0.00943501,3164,683424
936,14.2634,4775996,1031615136,0.00944259,3164,683424,0.00943871,3164,683424
944,14.4143,4826620,1042549920,0.00943152,3164,683424,0.0094245,3164,683424
952,14.565,4877244,1053484704,0.009432,3164,683424,0.00943843,3164,683424
960,14.7159,4927868,1064419488,0.00944374,3164,683424,0.00942063,3164,683424
968,14.8666,4978492,1075354272,0.00945942,3164,683424,0.00943432,3164,683424
976,15.0173,5029116,1086289056,0.00943296,3164,683424,0.00942374,3164,683424
984,15.1684,5079740,1097223840,0.00945704,3164,683424,0.00944167,3164,683424
992,15.3193,5130364,1108158624,0.00943491,3164,683424,0.00944153,3164,683424
1000,15.47,5180988,1119093408,0.00942631,3164,683424,0.00941661,3164,683424
1008,15.6207,5231612,1130028192,0.00942957,3164,683424,0.00942156,3164,683424
1016,15.7714,5282236,1140962976,0.00944304,3164,683424,0.00944628,3164,683424
1024,15.9224,5332860,1151897760,0.0052421,1760,380160,0.00524361,1760,380160
1032,16.1044,5394812,1165279392,0.0114894,3872,836352,0.0114962,3872,836352
1040,16.2886,5456764,1178661024,0.0115461,3872,836352,0.0115197,3872,836352
1048,16.4728,5518716,1192042656,0.0115508,3872,836352,0.0115344,3872,836352
1056,16.6569,5580668,1205424288,0.0115352,3872,836352,0.0115177,3872,836352
1064,16.8412,5642620,1218805920,0.0115436,3872,836352,0.0115076,3872,836352
1072,17.0254,5704572,1232187552,0.0115525,3872,836352,0.0115206,3872,836352
1080,17.2098,5766524,1245569184,0.0115436,3872,836352,0.0115155,3872,836352
1088,17.3946,5828476,1258950816,0.0115706,3872,836352,0.0115531,3872,836352
1096,17.5792,5890428,1272332448,0.0115519,3872,836352,0.0115125,3872,836352
1104,17.7634,5952380,1285714080,0.0115316,3872,836352,0.0115159,3872,836352
1112,17.9478,6014332,1299095712,0.0115496,3872,836352,0.0115231,3872,836352
1120,18.1321,6076284,1312477344,0.011535,3872,836352,0.0115195,3872,836352
1128,18.3165,6138236,1325858976,0.0115511,3872,836352,0.0115219,3872,836352
1136,18.5012,6200188,1339240608,0.0115703,3872,836352,0.011545,3872,836352
1144,18.686,6262140,1352622240,0.0115457,3872,836352,0.0115303,3872,836352
1152,18.8705,6324092,1366003872,0.0115337,3872,836352,0.0115224,3872,836352
1160,19.055,6386044,1379385504,0.0115755,3872,836352,0.011537,3872,836352
1168,19.2395,6447996,1392767136,0.0115305,3872,836352,0.0115329,3872,836352
1176,19.4238,6509948,1406148768,0.0115286,3872,836352,0.0115129,3872,836352
1184,19.6079,6571900,1419530400,0.0115401,3872,836352,0.0115145,3872,836352
1192,19.7921,6633852,1432912032,0.0115348,3872,836352,0.011526,3872,836352
1200,19.9765,6695804,1446293664,0.0115242,3872,836352,0.0115074,3872,836352
1208,20.161,6757756,1459675296,0.0115331,3872,836352,0.0115073,3872,836352
1216,20.3451,6819708,1473056928,0.0115227,3872,836352,0.0115201,3872,836352
1224,20.5294,6881660,1486438560,0.0115348,3872,836352,0.0115066,3872,836352
1232,20.7136,6943612,1499820192,0.0115205,3872,836352,0.0115066,3872,836352
1240,20.8979,7005564,1513201824,0.0115376,3872,836352,0.011527,3872,836352
1248,21.0824,7067516,1526583456,0.0115471,3872,836352,0.0115246,3872,836352
1256,21.2669,7129468,1539965088,0.0115437,3872,836352,0.0115254,3872,836352
1264,21.451,7191420,1553346720,0.011538,3872,836352,0.0115101,3872,836352
1272,21.6355,7253372,1566728352,0.0115522,3872,836352,0.0115295,3872,836352
1280,21.8199,7315324,1580109984,0.0115361,3872,836352,0.0115123,3872,836352
1288,22.0041,7377276,1593491616,0.0115306,3872,836352,0.0115256,3872,836352
1296,22.1887,7439228,1606873248,0.0115509,3872,836352,0.0115576,3872,836352
1304,22.3731,7501180,1620254880,0.0115571,3872,836352,0.0115391,3872,836352
1312,22.5572,7563132,1633636512,0.0115292,3872,836352,0.011505,3872,836352
1320,22.7414,7625084,1647018144,0.0115354,3872,836352,0.0115158,3872,836352
1328,22.9257,7687036,1660399776,0.0115267,3872,836352,0.011519,3872,836352
1336,23.1101,7748988,1673781408,0.0115424,3872,836352,0.0115298,3872,836352
1344,23.2943,7810940,1687163040,0.0115342,3872,836352,0.011519,3872,836352
1352,23.4786,7872892,1700544672,0.0115338,3872,836352,0.011529,3872,836352
