n,rar,rar_accesses,rar_bytes
16753664,0.00033021,234,35568
16753536,0.000329076,234,35568
16753408,0.000331092,234,35568
16753280,0.000340068,234,35568
16753152,0.000327328,234,35568
16753024,0.000341687,234,35568
16752896,0.000327872,234,35568
16752768,0.000328311,234,35568
16752640,0.000337776,234,35568
16752512,0.0003273,234,35568
16752384,0.000327599,234,35568
16752256,0.000326828,234,35568
16752128,0.000329005,234,35568
16752000,0.000339127,234,35568
16751872,0.000327417,234,35568
16751744,0.000328257,234,35568
16751616,0.000327732,234,35568
16751488,0.00033945,234,35568
16751360,0.0003282,234,35568
16751232,0.000327451,234,35568
16751104,0.00033113,234,35568
16750976,0.000326492,234,35568
16750848,0.000328489,234,35568
16750720,0.000329413,234,35568
16750592,0.000329102,234,35568
16750464,0.000331043,234,35568
16750336,0.000330497,234,35568
16750208,0.000328158,234,35568
16750080,0.000326371,234,35568
16749952,0.00033042,234,35568
16749824,0.000327979,234,35568
16749696,0.000337146,234,35568
16749568,0.000327214,234,35568
16749440,0.00032704,234,35568
16749312,0.000328782,234,35568
16749184,0.000338253,234,35568
16749056,0.000327055,234,35568
16748928,0.000324937,234,35568
16748800,0.000328834,234,35568
16748672,0.000328679,234,35568
16748544,0.00032712,234,35568
16748416,0.000328261,234,35568
16748288,0.000329495,234,35568
16748160,0.000327829,234,35568
16748032,0.000328274,234,35568
16747904,0.000328524,234,35568
16747776,0.00033878,234,35568
16747648,0.00032889,234,35568
16747520,0.000327417,234,35568
16747392,0.0003269,234,35568
16747264,0.000327489,234,35568
16747136,0.000328971,234,35568
16747008,0.000329313,234,35568
16746880,0.000329636,234,35568
16746752,0.000327967,234,35568
16746624,0.000341462,234,35568
16746496,0.00032646,234,35568
16746368,0.000327557,234,35568
16746240,0.000328052,234,35568
16746112,0.000328339,234,35568
16745984,0.00032575,234,35568
16745856,0.000327119,234,35568
16745728,0.000338085,234,35568
16745600,0.000326713,234,35568
16745472,0.000329338,234,35568
16745344,0.000328494,234,35568
16745216,0.000338292,234,35568
16745088,0.000327864,234,35568
16744960,0.000326674,234,35568
16744832,0.0003287,234,35568
16744704,0.000328016,234,35568
16744576,0.000336505,234,35568
16744448,0.000365133,234,35568
16744320,0.000328479,234,35568
16744192,0.000327851,234,35568
16744064,0.00033608,234,35568
16743936,0.000327112,234,35568
16743808,0.000336956,234,35568
16743680,0.000326796,234,35568
16743552,0.000327301,234,35568
16743424,0.000327728,234,35568
16743296,0.000326949,234,35568
16743168,0.000328275,234,35568
16743040,0.000328026,234,35568
16742912,0.0003379,234,35568
16742784,0.000326971,234,35568
16742656,0.000336688,234,35568
16742528,0.000326476,234,35568
16742400,0.000335791,234,35568
16742272,0.000326759,234,35568
16742144,0.000327097,234,35568
16742016,0.000328307,234,35568
16741888,0.000328014,234,35568
16741760,0.000326414,234,35568
16741632,0.000327716,234,35568
16741504,0.000328593,234,35568
16741376,0.000328363,234,35568
16741248,0.000328996,234,35568
16741120,0.000330513,234,35568
16740992,0.000333882,234,35568
16740864,0.000343535,234,35568
16740736,0.00032861,234,35568
16740608,0.000328657,234,35568
16740480,0.000329325,234,35568
16740352,0.000329646,234,35568
16740224,0.000327334,234,35568
16740096,0.000327065,234,35568
16739968,0.000327502,234,35568
16739840,0.000328417,234,35568
16739712,0.000338667,234,35568
16739584,0.00033037,234,35568
16739456,0.000329719,234,35568
16739328,0.000327608,234,35568
16739200,0.00032905,234,35568
16739072,0.00032931,234,35568
16738944,0.000330212,234,35568
16738816,0.000330729,234,35568
16738688,0.000330187,234,35568
16738560,0.00032863,234,35568
16738432,0.00033059,234,35568
16738304,0.000329437,234,35568
16738176,0.000327373,234,35568
16738048,0.000330288,234,35568
16737920,0.000328286,234,35568
16737792,0.000328736,234,35568
16737664,0.000327786,234,35568
16737536,0.000335876,234,35568
16737408,0.000330482,234,35568
16737280,0.000330731,234,35568
16737152,0.000329963,234,35568
16737024,0.000328213,234,35568
16736896,0.000329409,234,35568
16736768,0.000328636,234,35568
16736640,0.000326906,234,35568
16736512,0.000329026,234,35568
16736384,0.000327364,234,35568
16736256,0.00032855,234,35568
16736128,0.000328435,234,35568
16736000,0.000329617,234,35568
16735872,0.000328342,234,35568
16735744,0.000336659,234,35568
16735616,0.000328462,234,35568
16735488,0.000325565,234,35568
16735360,0.000327902,234,35568
16735232,0.000339951,234,35568
16735104,0.000328468,234,35568
16734976,0.000327602,234,35568
16734848,0.000328715,234,35568
16734720,0.000329269,234,35568
16734592,0.000331191,234,35568
16734464,0.000329623,234,35568
16734336,0.000330401,234,35568
16734208,0.000336875,234,35568
16734080,0.000328804,234,35568
16733952,0.000337373,234,35568
16733824,0.000328881,234,35568
16733696,0.000328004,234,35568
16733568,0.000330617,234,35568
16733440,0.000329684,234,35568
16733312,0.000339138,234,35568
16733184,0.000329762,234,35568
16733056,0.000328426,234,35568
16732928,0.000328614,234,35568
16732800,0.000327086,234,35568
16732672,0.000327226,234,35568
16732544,0.000329132,234,35568
16732416,0.000330209,234,35568
16732288,0.000327405,234,35568
16732160,0.000328252,234,35568
16732032,0.000327324,234,35568
16731904,0.000329538,234,35568
16731776,0.000338624,234,35568
16731648,0.00032933,234,35568
16731520,0.000336707,234,35568
16731392,0.000329632,234,35568
16731264,0.000328884,234,35568
16731136,0.00032711,234,35568
16731008,0.00033024,234,35568
16730880,0.000338746,234,35568
16730752,0.000327267,234,35568
16730624,0.000333853,234,35568
16730496,0.000329097,234,35568
16730368,0.000327115,234,35568
16730240,0.000326619,234,35568
16730112,0.000328667,234,35568
16729984,0.000330123,234,35568
16729856,0.000330319,234,35568
16729728,0.000328744,234,35568
16729600,0.000328546,234,35568
16729472,0.000326475,234,35568
16729344,0.000325902,234,35568
16729216,0.000336674,234,35568
16729088,0.000327108,234,35568
16728960,0.000329259,234,35568
16728832,0.000328502,234,35568
16728704,0.000326854,234,35568
16728576,0.000328246,234,35568
16728448,0.00032922,234,35568
16728320,0.000334997,234,35568
16728192,0.000329344,234,35568
16728064,0.000326672,234,35568
16727936,0.000328114,234,35568
16727808,0.00032786,234,35568
16727680,0.000326148,234,35568
16727552,0.000328005,234,35568
