n,alloc,init,init_accesses,init_bytes,fill,fill_accesses,fill_bytes,rar,rar_accesses,rar_bytes
1,7.849e-06,0.000177887,1,152,0.000198173,4,608,5.8895e-06,2,304
2,6.827e-06,0.000180677,3,456,0.000236193,16,2432,1.15245e-05,4,608
3,8.936e-06,0.0002169,7,1064,0.000366872,48,7296,1.69364e-05,6,912
4,8.183e-06,0.000216267,15,2280,0.000603094,128,19456,2.26279e-05,8,1216
5,8.517e-06,0.000286019,31,4712,0.00125011,320,48640,2.85707e-05,10,1520
6,1.086e-05,0.000399944,63,9576,0.00271074,768,116736,3.44139e-05,12,1824
7,1.5571e-05,0.000606049,127,19304,0.00582633,1792,272384,3.94403e-05,14,2128
8,3.1685e-05,0.00106768,255,38760,0.0130227,4096,622592,4.43812e-05,16,2432
9,3.5407e-05,0.00196532,511,77672,0.0283689,9216,1400832,4.98804e-05,18,2736
10,6.9368e-05,0.00373609,1023,155496,0.0621034,20480,3112960,5.52176e-05,20,3040
11,0.000129785,0.00739508,2047,311144,0.134904,45056,6848512,6.15425e-05,22,3344
12,0.00025173,0.0145596,4095,622440,0.295591,98304,14942208,6.66249e-05,24,3648
13,0.000527979,0.0287576,8191,1245032,0.634454,212992,32374784,7.13826e-05,26,3952
14,0.00103646,0.0572432,16383,2490216,1.36058,458752,69730304,7.86017e-05,28,4256
15,0.00204384,0.113977,32767,4980584,2.93534,983040,149422080,8.42001e-05,30,4560
16,0.00414797,0.22548,65535,9961320,6.14098,2097152,318767104,8.82679e-05,32,4864
17,0.00822976,0.451743,131071,19922792,13.1074,4456448,677380096,9.51497e-05,34,5168
18,0.0163163,0.910149,262143,39845736,27.9379,9437184,1434451968,9.9994e-05,36,5472
19,0.0326696,1.8204,524287,79691624,58.3679,19922944,3028287488,0.000104809,38,5776
20,0.0644363,3.77098,1048575,159383400,126.668,41943040,6375342080,0.000115002,40,6080
21,0.128434,7.3048,2097151,318766952,258.353,88080384,13388218368,0.000115911,42,6384
22,0.256854,14.5534,4194303,637534056,539.05,184549376,28051505152,0.000121609,44,6688
23,0.516497,28.772,8388607,1275068264,1107.4,385875968,58653147136,0.000127549,46,6992
24,1.029,59.04,16777215,2550136680,2193.9,805306368,122406567936,7.02744e-05,48,7296
