n,alloc,init,init_accesses,init_bytes,fill,fill_accesses,fill_bytes,rar,rar_accesses,rar_bytes
1,1.3172e-05,0.000181258,1,152,0.000201864,4,608,6.3635e-06,2,304
2,9.053e-06,0.000183122,3,456,0.00023828,16,2432,1.1832e-05,4,608
3,1.0442e-05,0.000194591,7,1064,0.000344487,48,7296,1.703e-05,6,912
4,1.0287e-05,0.000218234,15,2280,0.000597268,128,19456,2.38609e-05,8,1216
5,3.0938e-05,0.000298683,31,4712,0.00124332,320,48640,2.80382e-05,10,1520
6,1.284e-05,0.000380844,63,9576,0.00261867,768,116736,3.35375e-05,12,1824
7,1.7609e-05,0.000598571,127,19304,0.00578998,1792,272384,3.90658e-05,14,2128
8,2.5273e-05,0.00104899,255,38760,0.0129053,4096,622592,4.60552e-05,16,2432
9,4.202e-05,0.00193172,511,77672,0.0284036,9216,1400832,5.08041e-05,18,2736
10,7.6088e-05,0.00372339,1023,155496,0.0618249,20480,3112960,5.68089e-05,20,3040
11,0.000136003,0.00731238,2047,311144,0.137326,45056,6848512,6.21071e-05,22,3344
12,0.000258838,0.014573,4095,622440,0.298533,98304,14942208,6.80432e-05,24,3648
13,0.000509465,0.0287527,8191,1245032,0.643108,212992,32374784,7.39615e-05,26,3952
14,0.00102635,0.056731,16383,2490216,1.37258,458752,69730304,7.97433e-05,28,4256
15,0.00198074,0.113459,32767,4980584,2.93382,983040,149422080,8.572e-05,30,4560
16,0.00396329,0.226899,65535,9961320,6.19124,2097152,318767104,9.01639e-05,32,4864
17,0.00792516,0.456048,131071,19922792,7.39161,4456448,677380096,4.72701e-05,34,5168
18,0.012469,0.449788,262143,39845736,14.1217,9437184,1434451968,4.99067e-05,36,5472
19,0.0247059,0.911885,524287,79691624,29.6665,19922944,3028287488,5.62676e-05,38,5776
20,0.0497941,1.80167,1048575,159383400,61.3308,41943040,6375342080,5.75363e-05,40,6080
21,0.0997877,3.78239,2097151,318766952,161.795,88080384,13388218368,6.21465e-05,42,6384
22,0.200093,7.245,4194303,637534056,274.45,184549376,28051505152,6.35771e-05,44,6688
23,0.399533,14.4081,8388607,1275068264,560.728,385875968,58653147136,6.46273e-05,46,6992
24,0.801587,28.8868,16777215,2550136680,1179.91,805306368,122406567936,6.83317e-05,48,7296
