n,fill,fill_accesses,fill_bytes,read,read_accesses,read_bytes,rar,rar_accesses,rar_bytes
8,0.00727066,2236,482976,0.00048187,156,33696,0.000478967,156,33696
16,0.0288664,9340,2017440,0.000869614,288,62208,0.000870391,288,62208
24,0.0639822,20988,4533408,0.00220185,728,157248,0.00219118,728,157248
32,0.0990681,32636,7049376,0.0013195,440,95040,0.00131931,440,95040
40,0.149363,49660,10726560,0.00315648,1064,229824,0.00315072,1064,229824
48,0.200294,66684,14403744,0.00318798,1064,229824,0.00318637,1064,229824
56,0.250828,83708,18080928,0.00315262,1064,229824,0.00315162,1064,229824
64,0.301363,100732,21758112,0.00183747,624,134784,0.00183662,624,134784
72,0.371491,124604,26914464,0.00438417,1492,322272,0.00437558,1492,322272
80,0.441729,148476,32070816,0.00438699,1492,322272,0.00437899,1492,322272
88,0.511849,172348,37227168,0.00438362,1492,322272,0.00437958,1492,322272
96,0.582032,196220,42383520,0.00439231,1492,322272,0.00438148,1492,322272
104,0.652375,220092,47539872,0.00438396,1492,322272,0.00437536,1492,322272
112,0.722602,243964,52696224,0.00439763,1492,322272,0.00438934,1492,322272
120,0.792804,267836,57852576,0.00438224,1492,322272,0.0043834,1492,322272
128,0.863061,291708,63008928,0.00255403,868,187488,0.00260703,868,187488
136,0.95865,323516,69879456,0.00600171,1988,429408,0.00598875,1988,429408
144,1.05341,355324,76749984,0.00592492,1988,429408,0.00592688,1988,429408
152,1.14821,387132,83620512,0.00593103,1988,429408,0.00591522,1988,429408
160,1.24291,418940,90491040,0.00592816,1988,429408,0.00592825,1988,429408
168,1.33746,450748,97361568,0.00591993,1988,429408,0.00591834,1988,429408
176,1.43212,482556,104232096,0.00591941,1988,429408,0.00591345,1988,429408
184,1.52662,514364,111102624,0.00592836,1988,429408,0.00592182,1988,429408
192,1.6218,546172,117973152,0.00596029,1988,429408,0.00594781,1988,429408
200,1.71695,577980,124843680,0.00595829,1988,429408,0.00594767,1988,429408
208,1.8123,609788,131714208,0.00596054,1988,429408,0.0059492,1988,429408
216,1.90759,641596,138584736,0.00596394,1988,429408,0.00595382,1988,429408
224,2.00284,673404,145455264,0.00595767,1988,429408,0.00594672,1988,429408
232,2.09752,705212,152325792,0.00592428,1988,429408,0.00591667,1988,429408
240,2.19221,737020,159196320,0.0059172,1988,429408,0.00592077,1988,429408
248,2.2868,768828,166066848,0.00592079,1988,429408,0.00591986,1988,429408
256,2.38148,800636,172937376,0.00332915,1120,241920,0.00332672,1120,241920
264,2.50143,841020,181660320,0.00753559,2524,545184,0.00753346,2524,545184
272,2.62105,881404,190383264,0.00748229,2524,545184,0.007483,2524,545184
280,2.74063,921788,199106208,0.00747651,2524,545184,0.00747276,2524,545184
288,2.86025,962172,207829152,0.00747973,2524,545184,0.00747886,2524,545184
296,2.98121,1002556,216552096,0.00756919,2524,545184,0.00756174,2524,545184
304,3.10089,1042940,225275040,0.00747378,2524,545184,0.00747578,2524,545184
312,3.22067,1083324,233997984,0.00748579,2524,545184,0.00748244,2524,545184
320,3.34105,1123708,242720928,0.00749015,2524,545184,0.00747078,2524,545184
328,3.46061,1164092,251443872,0.00747071,2524,545184,0.00747065,2524,545184
336,3.58032,1204476,260166816,0.00747565,2524,545184,0.00748024,2524,545184
344,3.69994,1244860,268889760,0.00748656,2524,545184,0.00748207,2524,545184
352,3.81963,1285244,277612704,0.00748546,2524,545184,0.00747428,2524,545184
360,3.93924,1325628,286335648,0.00748752,2524,545184,0.00747798,2524,545184
