,n,alloc,init,init_accesses,init_bytes,fill,fill_accesses,fill_bytes,read,read_accesses,read_bytes,rar,rar_accesses,rar_bytes
0,1,8.568e-06,0.000190218,2,240,0.000258789,22,2640,2.0347e-06,1,120,3.0944e-05,11,1320
1,2,7.281e-06,0.000186885,4,480,0.000375558,68,8160,2.0376e-06,1,120,4.54471e-05,17,2040
2,3,9.469e-06,0.000199476,8,960,0.000682168,184,22080,2.0236e-06,1,120,5.97019e-05,23,2760
3,4,8.682e-06,0.000228753,16,1920,0.00144771,464,55680,2.0831e-06,1,120,7.73314e-05,29,3480
4,5,1.069e-05,0.000283129,32,3840,0.00323245,1120,134400,2.1381e-06,1,120,9.0302e-05,35,4200
5,6,1.3593e-05,0.000390448,64,7680,0.00712533,2624,314880,2.0103e-06,1,120,0.000103453,41,4920
6,7,1.9542e-05,0.000615997,128,15360,0.0163936,6016,721920,2.1029e-06,1,120,0.000119532,47,5640
7,8,3.3787e-05,0.00106166,256,30720,0.0356617,13568,1628160,2.0612e-06,1,120,0.000135398,53,6360
8,9,5.9623e-05,0.00192076,512,61440,0.0796355,30208,3624960,2.0549e-06,1,120,0.000150713,59,7080
9,10,0.000110973,0.00368396,1024,122880,0.174746,66560,7987200,2.088e-06,1,120,0.000164541,65,7800
10,11,0.000212805,0.00718749,2048,245760,0.381776,145408,17448960,2.098e-06,1,120,0.00018154,71,8520
11,12,0.000413391,0.0143394,4096,491520,0.824589,315392,37847040,2.0756e-06,1,120,0.000196232,77,9240
12,13,0.000789141,0.0280682,8192,983040,1.78283,679936,81592320,2.0732e-06,1,120,0.000213144,83,9960
13,14,0.00159641,0.0572706,16384,1966080,3.84116,1458176,174981120,2.109e-06,1,120,0.000228373,89,10680
14,15,0.00318715,0.114619,32768,3932160,8.17854,3112960,373555200,2.1224e-06,1,120,0.000246787,95,11400
15,16,0.00629738,0.224874,65536,7864320,17.3898,6619136,794296320,2.0904e-06,1,120,0.000261601,101,12120
16,17,0.0126868,0.444392,131072,15728640,23.8191,14024704,1682964480,1.0191e-06,1,120,0.000135359,107,12840
17,18,0.0200546,0.456055,262144,31457280,38.7635,29622272,3554672640,1.0336e-06,1,120,0.000145099,113,13560
18,19,0.0393572,0.961051,524288,62914560,120.493,62390272,7486832640,2.0615e-06,1,120,0.00030873,119,14280
19,20,0.101043,3.62494,1048576,125829120,347.512,131072000,15728640000,2.0554e-06,1,120,0.000329637,125,15000
20,21,0.200465,7.22855,2097152,251658240,561.922,274726912,32967229440,2.0452e-06,1,120,0.000336126,131,15720
21,22,0.401428,14.431,4194304,503316480,1466.3,574619648,68954357760,2.0597e-06,1,120,0.000349012,137,16440
22,23,0.804331,28.6086,8388608,1006632960,2835.17,1199570944,143948513280,2.0819e-06,1,120,0.000370476,143,17160
23,24,1.60194,58.3277,16777216,2013265920,4100.97,2499805184,299976622080,1.0173e-06,1,120,0.000197087,149,17880
