,n,alloc,init,init_accesses,init_bytes,fill,fill_accesses,fill_bytes,read,read_accesses,read_bytes,rar,rar_accesses,rar_bytes
0,1,9.066e-06,0.000178781,1,216,0.000337628,40,8640,7.57344e-05,20,4320,7.36018e-05,20,4320
1,2,1.0388e-05,0.000187057,3,648,0.00114539,288,62208,0.000239103,72,15552,0.000237315,72,15552
2,3,9.042e-06,0.00019327,7,1512,0.00417663,1248,269568,0.000498384,156,33696,0.000494999,156,33696
3,4,8.742e-06,0.000224986,15,3240,0.0145342,4608,995328,0.000893467,288,62208,0.000889714,288,62208
4,5,1.0733e-05,0.000283569,31,6696,0.0437975,14080,3041280,0.00135962,440,95040,0.00135585,440,95040
5,6,1.3612e-05,0.000404717,63,13608,0.121635,39936,8626176,0.00189889,624,134784,0.00189264,624,134784
6,7,2.2683e-05,0.000646561,127,27432,0.34042,111104,23998464,0.00267032,868,187488,0.00265886,868,187488
7,8,3.277e-05,0.0011268,255,55080,0.868752,286720,61931520,0.00339313,1120,241920,0.00338819,1120,241920
8,9,5.5546e-05,0.00205048,511,110376,2.14375,718848,155271168,0.00419229,1404,303264,0.00418766,1404,303264
9,10,0.000105432,0.00400485,1023,220968,5.40035,1802240,389283840,0.00528859,1760,380160,0.0052857,1760,380160
10,11,0.000194606,0.00769666,2047,442152,12.8699,4325376,934281216,0.00628522,2112,456192,0.00627681,2112,456192
11,12,0.000369589,0.0151199,4095,884520,30.313,10223616,2208301056,0.00741604,2496,539136,0.00742314,2496,539136
12,13,0.000748406,0.030685,8191,1769256,47.3779,24281088,5244715008,0.00449262,2964,640224,0.00448779,2964,640224
13,14,0.00110344,0.0305275,16383,3538728,126.164,55967744,12089032704,0.0100738,3416,737856,0.0100612,3416,737856
14,15,0.00286944,0.122875,32767,7077672,258.468,127795200,27603763200,0.00580839,3900,842400,0.00575992,3900,842400
15,16,0.00449077,0.128783,65535,14155560,583.585,293601280,63417876480,0.00719672,4480,967680,0.00715795,4480,967680
16,17,0.00889061,0.243764,131071,28311336,1342.54,659554304,142463729664,0.00757425,5032,1086912,0.00753355,5032,1086912
17,18,0.0179493,0.506894,262143,56622888,4138.24,1472200704,317995352064,0.0169869,5616,1213056,0.0169032,5616,1213056
18,19,0.046422,1.90883,524287,113245992,6283.05,3307208704,714357080064,0.0100024,6308,1362528,0.00998116,6308,1362528
19,20,0.0718142,1.95161,1048575,226492200,10912.2,7298088960,1576387215360,0.010442,6960,1503360,0.01044,6960,1503360
20,21,0.144121,3.91203,2097151,452984616,23920.2,16030629888,3462616055808,0.0114485,7644,1651104,0.0114216,7644,1651104
21,22,0.28539,8.21541,4194303,905969448,56606.3,35433480192,7653631721472,0.0134764,8448,1824768,0.0138889,8448,1824768
22,23,0.575569,16.4565,8388607,1811939112,120592.0,77175193600,16669841817600,0.0144195,9200,1987200,0.0143504,9200,1987200
23,24,1.14659,32.7663,16777215,3623878440,279077.0,167503724544,36180804501504,0.0160559,9984,2156544,0.0159962,9984,2156544
