n,alloc,init,init_accesses,init_bytes,fill,fill_accesses,fill_bytes,rar,rar_accesses,rar_bytes
1,8.55e-06,0.000188545,1,120,0.000206291,4,480,5.987e-06,2,240
2,7.097e-06,0.0001827,3,360,0.00023369,16,1920,1.1475e-05,4,480
3,8.165e-06,0.00022289,7,840,0.00036198,48,5760,1.68966e-05,6,720
4,9.117e-06,0.000224691,15,1800,0.000582538,128,15360,2.2111e-05,8,960
5,8.33e-06,0.000277187,31,3720,0.00116258,320,38400,2.73376e-05,10,1200
6,1.018e-05,0.000384479,63,7560,0.00250252,768,92160,3.26085e-05,12,1440
7,1.3062e-05,0.000613331,127,15240,0.00553642,1792,215040,3.81165e-05,14,1680
8,2.2507e-05,0.00104175,255,30600,0.0121887,4096,491520,4.3222e-05,16,1920
9,3.4376e-05,0.00191462,511,61320,0.0273604,9216,1105920,4.92718e-05,18,2160
10,6.1382e-05,0.00370004,1023,122760,0.0597946,20480,2457600,5.51712e-05,20,2400
11,0.00011562,0.00719141,2047,245640,0.130364,45056,5406720,6.04205e-05,22,2640
12,0.000207086,0.0143852,4095,491400,0.287166,98304,11796480,6.66834e-05,24,2880
13,0.000412049,0.0282709,8191,982920,0.604335,212992,25559040,7.13291e-05,26,3120
14,0.000814625,0.0567902,16383,1965960,1.30963,458752,55050240,7.62083e-05,28,3360
15,0.00159446,0.113107,32767,3932040,2.84254,983040,117964800,8.445e-05,30,3600
16,0.0031663,0.223601,65535,7864200,5.9717,2097152,251658240,8.73328e-05,32,3840
17,0.00627534,0.450283,131071,15728520,12.5894,4456448,534773760,9.25579e-05,34,4080
18,0.0127407,0.911872,262143,31457160,20.0001,9437184,1132462080,9.85298e-05,36,4320
19,0.0251901,1.79222,524287,62914440,55.6855,19922944,2390753280,0.00010406,38,4560
20,0.0503537,3.60717,1048575,125829000,119.507,41943040,5033164800,0.000111568,40,4800
21,0.0990796,7.20872,2097151,251658120,250.573,88080384,10569646080,0.000116904,42,5040
22,0.201696,14.3215,4194303,503316360,433.593,184549376,22145925120,0.00012001,44,5280
23,0.403115,28.9285,8388607,1006632840,1043.81,385875968,46305116160,0.000126072,46,5520
24,0.800487,46.5567,16777215,2013265800,2157.11,805306368,96636764160,0.000129385,48,5760
