n,rar,rar_accesses,rar_bytes
16777344,0.000658458,234,35568
16777216,0.000671867,234,35568
16777088,0.000672513,234,35568
16776960,0.000665844,234,35568
16776832,0.00065924,234,35568
16776704,0.00065996,234,35568
16776576,0.000658523,234,35568
16776448,0.000658237,234,35568
16776320,0.000669727,234,35568
16776192,0.000668578,234,35568
16776064,0.000658084,234,35568
16775936,0.000659407,234,35568
16775808,0.000657656,234,35568
16775680,0.000657399,234,35568
16775552,0.000672523,234,35568
16775424,0.000664284,234,35568
16775296,0.000655103,234,35568
16775168,0.000661611,234,35568
16775040,0.000659315,234,35568
16774912,0.000659035,234,35568
16774784,0.000668857,234,35568
16774656,0.000664471,234,35568
16774528,0.000656203,234,35568
16774400,0.000658582,234,35568
16774272,0.000656778,234,35568
16774144,0.000657148,234,35568
16774016,0.000657048,234,35568
16773888,0.000672944,234,35568
16773760,0.000665468,234,35568
16773632,0.000655455,234,35568
16773504,0.000653215,234,35568
16773376,0.000654096,234,35568
16773248,0.000671382,234,35568
16773120,0.000667257,234,35568
16772992,0.000668366,234,35568
16772864,0.000657615,234,35568
16772736,0.000658925,234,35568
16772608,0.000656662,234,35568
16772480,0.000667714,234,35568
16772352,0.000657717,234,35568
16772224,0.000664319,234,35568
16772096,0.000657226,234,35568
16771968,0.000657378,234,35568
16771840,0.000657157,234,35568
16771712,0.000660832,234,35568
16771584,0.000669244,234,35568
16771456,0.000666165,234,35568
16771328,0.000654997,234,35568
16771200,0.00065712,234,35568
16771072,0.000656706,234,35568
16770944,0.00065935,234,35568
16770816,0.000667346,234,35568
16770688,0.000654678,234,35568
16770560,0.00066616,234,35568
16770432,0.000658184,234,35568
16770304,0.000656584,234,35568
16770176,0.000664704,234,35568
16770048,0.000668855,234,35568
16769920,0.000659815,234,35568
16769792,0.000667936,234,35568
16769664,0.000657579,234,35568
16769536,0.000662286,234,35568
16769408,0.000659058,234,35568
16769280,0.000660313,234,35568
16769152,0.000667889,234,35568
16769024,0.000669315,234,35568
16768896,0.000659362,234,35568
16768768,0.000663079,234,35568
16768640,0.000659473,234,35568
16768512,0.000659349,234,35568
16768384,0.000660553,234,35568
16768256,0.000656154,234,35568
16768128,0.000653071,234,35568
16768000,0.000671804,234,35568
16767872,0.000666369,234,35568
16767744,0.00065806,234,35568
16767616,0.00065737,234,35568
16767488,0.000659335,234,35568
16767360,0.000659476,234,35568
16767232,0.000660977,234,35568
16767104,0.000665205,234,35568
16766976,0.000658305,234,35568
16766848,0.000658096,234,35568
16766720,0.000662162,234,35568
16766592,0.000672495,234,35568
16766464,0.000664484,234,35568
16766336,0.000656666,234,35568
16766208,0.000658112,234,35568
16766080,0.000657897,234,35568
16765952,0.000666561,234,35568
16765824,0.00066292,234,35568
16765696,0.000657947,234,35568
16765568,0.000659636,234,35568
16765440,0.000661939,234,35568
16765312,0.000660518,234,35568
16765184,0.000671023,234,35568
16765056,0.000666648,234,35568
16764928,0.000660727,234,35568
16764800,0.000654499,234,35568
16764672,0.000657666,234,35568
16764544,0.000667176,234,35568
16764416,0.000658336,234,35568
16764288,0.000664806,234,35568
16764160,0.000659635,234,35568
16764032,0.00065732,234,35568
16763904,0.000659764,234,35568
16763776,0.00066956,234,35568
16763648,0.000658606,234,35568
16763520,0.000653632,234,35568
16763392,0.000657807,234,35568
16763264,0.000659122,234,35568
16763136,0.00065826,234,35568
16763008,0.000671468,234,35568
16762880,0.000664437,234,35568
16762752,0.000655786,234,35568
16762624,0.000658129,234,35568
16762496,0.000658395,234,35568
16762368,0.000658612,234,35568
16762240,0.00066859,234,35568
16762112,0.000665829,234,35568
16761984,0.000657709,234,35568
16761856,0.000655404,234,35568
16761728,0.000660247,234,35568
16761600,0.00065979,234,35568
16761472,0.000670196,234,35568
16761344,0.000667273,234,35568
16761216,0.000659449,234,35568
16761088,0.000663892,234,35568
16760960,0.000657208,234,35568
16760832,0.000682121,234,35568
16760704,0.000670216,234,35568
16760576,0.00066674,234,35568
16760448,0.000659107,234,35568
16760320,0.000659819,234,35568
16760192,0.000661737,234,35568
16760064,0.000662164,234,35568
16759936,0.000668446,234,35568
16759808,0.00066124,234,35568
16759680,0.000667699,234,35568
16759552,0.000654689,234,35568
16759424,0.000658622,234,35568
16759296,0.000659487,234,35568
16759168,0.000670923,234,35568
16759040,0.00066387,234,35568
16758912,0.000662102,234,35568
16758784,0.000654963,234,35568
16758656,0.000661476,234,35568
16758528,0.000658787,234,35568
16758400,0.000669806,234,35568
16758272,0.000662667,234,35568
16758144,0.000655727,234,35568
16758016,0.000659462,234,35568
16757888,0.000657533,234,35568
16757760,0.000670686,234,35568
16757632,0.00066561,234,35568
16757504,0.000656604,234,35568
16757376,0.000659357,234,35568
16757248,0.000659576,234,35568
16757120,0.00067239,234,35568
16756992,0.000657114,234,35568
16756864,0.000665715,234,35568
16756736,0.000659517,234,35568
16756608,0.000660971,234,35568
16756480,0.000657124,234,35568
16756352,0.000656253,234,35568
16756224,0.000668792,234,35568
16756096,0.000654957,234,35568
16755968,0.000655246,234,35568
16755840,0.000656902,234,35568
16755712,0.000666797,234,35568
16755584,0.0006576,234,35568
16755456,0.000667242,234,35568
16755328,0.000659188,234,35568
16755200,0.000655886,234,35568
16755072,0.000659707,234,35568
16754944,0.000668948,234,35568
16754816,0.000665482,234,35568
16754688,0.000659846,234,35568
16754560,0.000658471,234,35568
16754432,0.000663185,234,35568
16754304,0.000666232,234,35568
16754176,0.000656431,234,35568
16754048,0.000669439,234,35568
16753920,0.000658922,234,35568
16753792,0.000656357,234,35568
16753664,0.000656909,234,35568
16753536,0.000657734,234,35568
16753408,0.00066877,234,35568
16753280,0.000666153,234,35568
16753152,0.00066091,234,35568
16753024,0.000654993,234,35568
16752896,0.000657384,234,35568
16752768,0.000660802,234,35568
16752640,0.000673491,234,35568
16752512,0.000671945,234,35568
16752384,0.000657518,234,35568
16752256,0.000654446,234,35568
16752128,0.000658224,234,35568
16752000,0.000658403,234,35568
16751872,0.000672382,234,35568
16751744,0.000665469,234,35568
16751616,0.000659458,234,35568
16751488,0.000655697,234,35568
16751360,0.000655422,234,35568
16751232,0.000672804,234,35568
16751104,0.000669287,234,35568
16750976,0.000662551,234,35568
16750848,0.000659926,234,35568
16750720,0.000663812,234,35568
16750592,0.000672353,234,35568
16750464,0.000655699,234,35568
16750336,0.000668393,234,35568
16750208,0.000662325,234,35568
16750080,0.000655683,234,35568
16749952,0.000661962,234,35568
16749824,0.000673695,234,35568
16749696,0.000666368,234,35568
16749568,0.000658985,234,35568
16749440,0.000661088,234,35568
16749312,0.000656107,234,35568
16749184,0.000672926,234,35568
16749056,0.000667318,234,35568
16748928,0.000657963,234,35568
16748800,0.000659142,234,35568
16748672,0.000659418,234,35568
16748544,0.000659639,234,35568
16748416,0.000671468,234,35568
16748288,0.000667893,234,35568
16748160,0.000657446,234,35568
16748032,0.000655004,234,35568
16747904,0.000657407,234,35568
16747776,0.000656532,234,35568
16747648,0.00066857,234,35568
16747520,0.000665879,234,35568
16747392,0.000663716,234,35568
16747264,0.000655994,234,35568
16747136,0.000656062,234,35568
16747008,0.000658946,234,35568
16746880,0.000669089,234,35568
16746752,0.000664866,234,35568
16746624,0.000666532,234,35568
16746496,0.000659836,234,35568
16746368,0.000657068,234,35568
16746240,0.0006557,234,35568
16746112,0.000671224,234,35568
16745984,0.000672263,234,35568
16745856,0.000654612,234,35568
16745728,0.000659538,234,35568
16745600,0.000658511,234,35568
16745472,0.000667399,234,35568
16745344,0.000668736,234,35568
16745216,0.000657918,234,35568
16745088,0.000658322,234,35568
16744960,0.000659111,234,35568
16744832,0.000658659,234,35568
16744704,0.00065833,234,35568
16744576,0.000665357,234,35568
16744448,0.000703087,234,35568
16744320,0.000657644,234,35568
16744192,0.000656814,234,35568
16744064,0.000670578,234,35568
16743936,0.000666432,234,35568
16743808,0.00065834,234,35568
16743680,0.000657011,234,35568
16743552,0.000659313,234,35568
16743424,0.000671141,234,35568
16743296,0.000664837,234,35568
16743168,0.000658193,234,35568
16743040,0.000657312,234,35568
16742912,0.000655781,234,35568
16742784,0.000659734,234,35568
16742656,0.000670406,234,35568
16742528,0.000662965,234,35568
16742400,0.000660602,234,35568
16742272,0.000659889,234,35568
16742144,0.000671484,234,35568
16742016,0.000669955,234,35568
16741888,0.000671303,234,35568
16741760,0.000665787,234,35568
16741632,0.000656788,234,35568
16741504,0.000654654,234,35568
16741376,0.000654034,234,35568
16741248,0.000657221,234,35568
16741120,0.000673907,234,35568
16740992,0.000667944,234,35568
16740864,0.000662109,234,35568
16740736,0.000656577,234,35568
16740608,0.000658208,234,35568
16740480,0.000674955,234,35568
16740352,0.00066319,234,35568
16740224,0.000666637,234,35568
16740096,0.000656047,234,35568
16739968,0.000657173,234,35568
16739840,0.000656144,234,35568
16739712,0.000672381,234,35568
16739584,0.000658936,234,35568
16739456,0.000667436,234,35568
16739328,0.000658531,234,35568
16739200,0.000658505,234,35568
16739072,0.000656668,234,35568
16738944,0.000667806,234,35568
16738816,0.00067257,234,35568
16738688,0.00066537,234,35568
16738560,0.000663381,234,35568
16738432,0.000658839,234,35568
16738304,0.00065572,234,35568
16738176,0.000656186,234,35568
16738048,0.000660775,234,35568
16737920,0.000652124,234,35568
16737792,0.000667339,234,35568
16737664,0.0006596,234,35568
16737536,0.000663338,234,35568
16737408,0.000660361,234,35568
16737280,0.000659354,234,35568
16737152,0.000659534,234,35568
16737024,0.000656546,234,35568
16736896,0.000654034,234,35568
16736768,0.000672519,234,35568
16736640,0.00066702,234,35568
16736512,0.000659491,234,35568
16736384,0.0006553,234,35568
16736256,0.000656543,234,35568
16736128,0.000656137,234,35568
16736000,0.000659584,234,35568
16735872,0.000667256,234,35568
16735744,0.000664447,234,35568
16735616,0.000656066,234,35568
16735488,0.000660108,234,35568
16735360,0.000659203,234,35568
16735232,0.00065777,234,35568
16735104,0.00066965,234,35568
16734976,0.000670704,234,35568
16734848,0.000663372,234,35568
16734720,0.000653768,234,35568
16734592,0.00065634,234,35568
16734464,0.000656698,234,35568
