n,alloc,init,init_accesses,init_bytes,fill,fill_accesses,fill_bytes,rar,rar_accesses,rar_bytes
1,1.2242e-05,0.000181326,1,152,0.000203722,4,608,6.5335e-06,2,304
2,1.0522e-05,0.00018624,3,456,0.000242349,16,2432,1.20185e-05,4,608
3,1.1491e-05,0.000196376,7,1064,0.000348229,48,7296,1.7147e-05,6,912
4,1.1065e-05,0.000226576,15,2280,0.000612707,128,19456,2.26772e-05,8,1216
5,1.122e-05,0.00027648,31,4712,0.00125418,320,48640,2.82715e-05,10,1520
6,1.5738e-05,0.000387897,63,9576,0.00261192,768,116736,3.33285e-05,12,1824
7,1.9348e-05,0.000624022,127,19304,0.00576095,1792,272384,3.97951e-05,14,2128
8,2.6003e-05,0.0010448,255,38760,0.0127341,4096,622592,4.41676e-05,16,2432
9,4.0575e-05,0.00192898,511,77672,0.027999,9216,1400832,4.94383e-05,18,2736
10,7.1444e-05,0.00370122,1023,155496,0.0618142,20480,3112960,5.55179e-05,20,3040
11,0.000140019,0.00726457,2047,311144,0.136607,45056,6848512,6.16529e-05,22,3344
12,0.000268515,0.0143555,4095,622440,0.291929,98304,14942208,6.69485e-05,24,3648
13,0.000534728,0.0288011,8191,1245032,0.635113,212992,32374784,7.27673e-05,26,3952
14,0.0010608,0.0566868,16383,2490216,1.36965,458752,69730304,7.9188e-05,28,4256
15,0.00206131,0.112973,32767,4980584,2.89,983040,149422080,8.41491e-05,30,4560
16,0.00407047,0.22687,65535,9961320,6.17997,2097152,318767104,9.07724e-05,32,4864
17,0.00822902,0.452629,131071,19922792,13.0078,4456448,677380096,9.51999e-05,34,5168
18,0.016211,0.896132,262143,39845736,27.4947,9437184,1434451968,9.9909e-05,36,5472
19,0.0326141,1.83404,524287,79691624,59.2465,19922944,3028287488,0.000108,38,5776
20,0.0646633,3.62146,1048575,159383400,103.59,41943040,6375342080,5.63481e-05,40,6080
21,0.103186,3.62874,2097151,318766952,129.463,88080384,13388218368,5.93864e-05,42,6384
22,0.203448,7.22837,4194303,637534056,409.049,184549376,28051505152,0.000124939,44,6688
23,0.515051,28.7693,8388607,1275068264,1106.22,385875968,58653147136,0.000128898,46,6992
24,1.03757,58.9859,16777215,2550136680,2387.98,805306368,122406567936,0.000138199,48,7296
