n,fill,fill_accesses,fill_bytes,rar,rar_accesses,rar_bytes
8,0.0005269,114,13680,1.66285e-05,6,720
16,0.00119427,338,40560,2.21867e-05,8,960
24,0.00200653,626,75120,5.02851e-05,18,2160
32,0.00283334,914,109680,2.89599e-05,10,1200
40,0.00379951,1266,151920,6.15521e-05,22,2640
48,0.00478869,1618,194160,6.28703e-05,22,2640
56,0.00579303,1970,236400,6.16001e-05,22,2640
64,0.00680436,2322,278640,3.29618e-05,12,1440
72,0.00793375,2738,328560,7.15205e-05,26,3120
80,0.00910649,3154,378480,7.24141e-05,26,3120
88,0.0102746,3570,428400,7.37633e-05,26,3120
96,0.0114556,3986,478320,7.23084e-05,26,3120
104,0.0126383,4402,528240,7.2309e-05,26,3120
112,0.0138088,4818,578160,7.3594e-05,26,3120
120,0.0149898,5234,628080,7.25286e-05,26,3120
128,0.0161781,5650,678000,3.83723e-05,14,1680
136,0.0174636,6130,735600,8.42066e-05,30,3600
144,0.0187894,6610,793200,8.31446e-05,30,3600
152,0.0201159,7090,850800,8.40623e-05,30,3600
160,0.0214512,7570,908400,8.32152e-05,30,3600
168,0.0227936,8050,966000,8.46701e-05,30,3600
176,0.0241421,8530,1023600,8.32812e-05,30,3600
184,0.0254837,9010,1081200,8.39039e-05,30,3600
192,0.0268392,9490,1138800,8.30364e-05,30,3600
200,0.0281896,9970,1196400,8.42776e-05,30,3600
208,0.029537,10450,1254000,8.31875e-05,30,3600
216,0.0308787,10930,1311600,8.38778e-05,30,3600
224,0.0322361,11410,1369200,8.33373e-05,30,3600
232,0.033583,11890,1426800,8.44949e-05,30,3600
240,0.0349353,12370,1484400,8.31986e-05,30,3600
248,0.0362888,12850,1542000,8.32381e-05,30,3600
256,0.0376521,13330,1599600,4.38006e-05,16,1920
264,0.0391187,13874,1664880,9.46327e-05,34,4080
272,0.0405955,14418,1730160,9.55368e-05,34,4080
280,0.0420827,14962,1795440,9.36645e-05,34,4080
288,0.0435717,15506,1860720,9.41182e-05,34,4080
296,0.0450847,16050,1926000,9.47785e-05,34,4080
304,0.046598,16594,1991280,9.39679e-05,34,4080
312,0.0481232,17138,2056560,9.36561e-05,34,4080
