n,alloc,init,init_accesses,init_bytes,fill,fill_accesses,fill_bytes,rar,rar_accesses,rar_bytes
1,5.422e-06,0.000120746,1,152,0.000132804,4,608,3.119e-06,2,304
2,4.938e-06,0.000123587,3,456,0.000153961,16,2432,6.0495e-06,4,608
3,5.834e-06,0.000119657,7,1064,0.000194971,48,7296,8.2746e-06,6,912
4,6.098e-06,0.000133347,15,2280,0.000321653,128,19456,1.20309e-05,8,1216
5,5.955e-06,0.000158602,31,4712,0.00061711,320,48640,1.36263e-05,10,1520
6,6.784e-06,0.000217784,63,9576,0.0013506,768,116736,1.70318e-05,12,1824
7,1.1026e-05,0.00033759,127,19304,0.00298024,1792,272384,1.9869e-05,14,2128
8,1.4962e-05,0.000534319,255,38760,0.0115177,4096,622592,4.48652e-05,16,2432
9,4.2694e-05,0.00199925,511,77672,0.0290249,9216,1400832,5.10444e-05,18,2736
10,6.2194e-05,0.00379757,1023,155496,0.0469485,20480,3112960,2.7023e-05,20,3040
11,8.2428e-05,0.00361081,2047,311144,0.0658805,45056,6848512,2.95892e-05,22,3344
12,0.000171038,0.00829188,4095,622440,0.287973,98304,14942208,6.71063e-05,24,3648
13,0.000500188,0.0285143,8191,1245032,0.623189,212992,32374784,6.99637e-05,26,3952
14,0.00100061,0.0563069,16383,2490216,1.29274,458752,69730304,3.89445e-05,28,4256
15,0.00157023,0.0563748,32767,4980584,1.42793,983040,149422080,4.1499e-05,30,4560
16,0.00312643,0.112126,65535,9961320,3.05122,2097152,318767104,4.29745e-05,32,4864
17,0.0062944,0.224524,131071,19922792,6.7621,4456448,677380096,4.8808e-05,34,5168
18,0.0125229,0.467003,262143,39845736,13.8391,9437184,1434451968,4.8539e-05,36,5472
19,0.0249695,0.891634,524287,79691624,28.7212,19922944,3028287488,5.10688e-05,38,5776
20,0.0497778,1.78891,1048575,159383400,60.9628,41943040,6375342080,5.38558e-05,40,6080
21,0.0998209,3.57586,2097151,318766952,171,88080384,13388218368,5.79046e-05,42,6384
22,0.199551,7.1982,4194303,637534056,438.056,184549376,28051505152,0.000126029,44,6688
23,0.51124,19.4781,8388607,1275068264,686.351,385875968,58653147136,0.000126349,46,6992
24,1.02551,58.2254,16777215,2550136680,2348.65,805306368,122406567936,0.000132807,48,7296
