n,fill,fill_accesses,fill_bytes,read,read_accesses,read_bytes,rar,rar_accesses,rar_bytes
8,0.00399694,2236,482976,0.000254561,156,33696,0.000259411,156,33696
16,0.0153611,9340,2017440,0.00046423,288,62208,0.000457625,288,62208
24,0.033691,20988,4533408,0.0011431,728,157248,0.00114725,728,157248
32,0.0519756,32636,7049376,0.00068622,440,95040,0.000695143,440,95040
40,0.0782534,49660,10726560,0.00165046,1064,229824,0.00164914,1064,229824
48,0.104605,66684,14403744,0.00163961,1064,229824,0.00164283,1064,229824
56,0.130943,83708,18080928,0.00164196,1064,229824,0.00164168,1064,229824
64,0.157336,100732,21758112,0.000962653,624,134784,0.000951322,624,134784
72,0.19411,124604,26914464,0.00228854,1492,322272,0.00227697,1492,322272
80,0.23073,148476,32070816,0.00229306,1492,322272,0.00226765,1492,322272
88,0.267331,172348,37227168,0.00229117,1492,322272,0.00229157,1492,322272
96,0.304007,196220,42383520,0.00229437,1492,322272,0.00229101,1492,322272
104,0.340475,220092,47539872,0.00228019,1492,322272,0.00229512,1492,322272
112,0.37699,243964,52696224,0.00229111,1492,322272,0.00227634,1492,322272
120,0.413503,267836,57852576,0.00228974,1492,322272,0.00229269,1492,322272
128,0.450164,291708,63008928,0.00133067,868,187488,0.00133182,868,187488
136,0.498531,323516,69879456,0.00303084,1988,429408,0.00302704,1988,429408
144,0.546928,355324,76749984,0.00303537,1988,429408,0.00302243,1988,429408
152,0.595222,387132,83620512,0.00302143,1988,429408,0.00302452,1988,429408
160,0.643427,418940,90491040,0.00301815,1988,429408,0.00303179,1988,429408
168,0.69184,450748,97361568,0.0030119,1988,429408,0.00301196,1988,429408
176,0.740106,482556,104232096,0.00303069,1988,429408,0.00303058,1988,429408
184,0.788588,514364,111102624,0.00303265,1988,429408,0.00302964,1988,429408
192,0.836715,546172,117973152,0.00302574,1988,429408,0.00300647,1988,429408
200,0.885063,577980,124843680,0.0030389,1988,429408,0.00304284,1988,429408
208,0.933597,609788,131714208,0.00303908,1988,429408,0.00302009,1988,429408
