,n,alloc,init,init_accesses,init_bytes,fill,fill_accesses,fill_bytes,read,read_accesses,read_bytes,rar,rar_accesses,rar_bytes
0,1,7.498e-06,0.000180025,2,240,0.000249236,22,2640,2.0956e-06,1,120,3.10139e-05,11,1320
1,2,7.201e-06,0.000185104,4,480,0.000376862,68,8160,2.0702e-06,1,120,4.59266e-05,17,2040
2,3,5.857e-06,0.000120584,8,960,0.000369815,184,22080,1.0046e-06,1,120,2.98609e-05,23,2760
3,4,6.14e-06,0.000134646,16,1920,0.000747939,464,55680,1.0171e-06,1,120,3.7578e-05,29,3480
4,5,6.587e-06,0.000160604,32,3840,0.00163238,1120,134400,1.0047e-06,1,120,4.3781e-05,35,4200
5,6,8.544e-06,0.000212461,64,7680,0.00364336,2624,314880,9.976e-07,1,120,5.15067e-05,41,4920
6,7,1.3052e-05,0.000319927,128,15360,0.00802316,6016,721920,1.0104e-06,1,120,6.23847e-05,47,5640
7,8,2.7975e-05,0.00102203,256,30720,0.0332112,13568,1628160,1.108e-06,1,120,7.04616e-05,53,6360
8,9,3.4772e-05,0.00102555,512,61440,0.0421329,30208,3624960,1.1193e-06,1,120,7.94294e-05,59,7080
9,10,6.7085e-05,0.00192339,1024,122880,0.0876692,66560,7987200,1.0231e-06,1,120,8.28047e-05,65,7800
10,11,0.000132029,0.00357131,2048,245760,0.196499,145408,17448960,1.0417e-06,1,120,9.35722e-05,71,8520
11,12,0.000282263,0.0072368,4096,491520,0.431279,315392,37847040,1.1398e-06,1,120,0.00010235,77,9240
12,13,0.000577107,0.0140593,8192,983040,1.49805,679936,81592320,2.072e-06,1,120,0.000211269,83,9960
13,14,0.00155504,0.0568544,16384,1966080,3.78501,1458176,174981120,2.0624e-06,1,120,0.000226835,89,10680
14,15,0.00313228,0.11361,32768,3932160,8.12048,3112960,373555200,2.0727e-06,1,120,0.000242892,95,11400
15,16,0.00624873,0.225208,65536,7864320,17.273,6619136,794296320,2.1321e-06,1,120,0.000261578,101,12120
16,17,0.0124454,0.451467,131072,15728640,36.6843,14024704,1682964480,2.0429e-06,1,120,0.000273618,107,12840
17,18,0.0249832,0.900196,262144,31457280,76.8969,29622272,3554672640,2.0709e-06,1,120,0.000287586,113,13560
18,19,0.0498733,1.80898,524288,62914560,100.638,62390272,7486832640,1.0169e-06,1,120,0.000149736,119,14280
19,20,0.0771751,1.79703,1048576,125829120,254.393,131072000,15728640000,1.0336e-06,1,120,0.000158999,125,15000
20,21,0.153724,3.64417,2097152,251658240,487.51,274726912,32967229440,2.1021e-06,1,120,0.000337372,131,15720
21,22,0.398765,14.3421,4194304,503316480,1087.06,574619648,68954357760,2.0371e-06,1,120,0.000348533,137,16440
22,23,0.791443,28.6558,8388608,1006632960,2389.22,1199570944,143948513280,1.0157e-06,1,120,0.000191784,143,17160
23,24,1.2333,28.7616,16777216,2013265920,4394.68,2499805184,299976622080,2.0637e-06,1,120,0.00038858,149,17880
