n,alloc,init,init_accesses,init_bytes,fill,fill_accesses,fill_bytes,rar,rar_accesses,rar_bytes
1,7.428e-06,0.000119192,1,120,0.000129604,4,480,3.193e-06,2,240
2,5.809e-06,0.00012019,3,360,0.000145649,16,1920,5.6565e-06,4,480
3,4.937e-06,0.00012055,7,840,0.00019088,48,5760,8.4538e-06,6,720
4,6.432e-06,0.000137683,15,1800,0.000318471,128,15360,1.10717e-05,8,960
5,5.783e-06,0.00015942,31,3720,0.000592737,320,38400,1.33874e-05,10,1200
6,7.128e-06,0.000218816,63,7560,0.00124794,768,92160,1.60393e-05,12,1440
7,8.535e-06,0.000320202,127,15240,0.00284636,1792,215040,2.00953e-05,14,1680
8,1.3498e-05,0.000529191,255,30600,0.00606984,4096,491520,2.35899e-05,16,1920
9,1.9576e-05,0.000957514,511,61320,0.0133499,9216,1105920,2.43509e-05,18,2160
10,3.746e-05,0.00183602,1023,122760,0.0300711,20480,2457600,2.67727e-05,20,2400
11,8.3769e-05,0.00354897,2047,245640,0.0641011,45056,5406720,3.13751e-05,22,2640
12,0.000152594,0.00700328,4095,491400,0.138114,98304,11796480,3.22456e-05,24,2880
13,0.00030783,0.0137964,8191,982920,0.297061,212992,25559040,3.45882e-05,26,3120
14,0.000597302,0.0279779,16383,1965960,0.652917,458752,55050240,3.78091e-05,28,3360
15,0.00119429,0.0555191,32767,3932040,1.38332,983040,117964800,4.11146e-05,30,3600
16,0.00239598,0.110463,65535,7864200,2.95663,2097152,251658240,4.24442e-05,32,3840
17,0.0048779,0.219604,131071,15728520,6.27621,4456448,534773760,4.54115e-05,34,4080
18,0.00970993,0.438821,262143,31457160,13.4668,9437184,1132462080,4.97392e-05,36,4320
19,0.0192591,0.877114,524287,62914440,27.3454,19922944,2390753280,5.08427e-05,38,4560
20,0.0383248,1.75287,1048575,125829000,57.4099,41943040,5033164800,5.29983e-05,40,4800
21,0.0771387,3.49601,2097151,251658120,120.336,88080384,10569646080,5.74904e-05,42,5040
22,0.156074,7.04783,4194303,503316360,252.91,184549376,22145925120,5.82781e-05,44,5280
23,0.307631,13.9953,8388607,1006632840,525.631,385875968,46305116160,6.08425e-05,46,5520
24,0.614427,28.0685,16777215,2013265800,1128.58,805306368,96636764160,6.58207e-05,48,5760
