n,fill,fill_accesses,fill_bytes
1728,0.230537,159256,24206912
1736,0.231698,160088,24333376
1744,0.2329,160920,24459840
1752,0.234042,161752,24586304
1760,0.235207,162584,24712768
1768,0.23641,163416,24839232
1776,0.237601,164248,24965696
1784,0.23876,165080,25092160
1792,0.239904,165912,25218624
1800,0.241068,166744,25345088
1808,0.242208,167576,25471552
1816,0.243353,168408,25598016
1824,0.244536,169240,25724480
1832,0.245675,170072,25850944
1840,0.246823,170904,25977408
1848,0.247969,171736,26103872
1856,0.24913,172568,26230336
1864,0.250293,173400,26356800
1872,0.251447,174232,26483264
1880,0.252612,175064,26609728
1888,0.253754,175896,26736192
1896,0.254896,176728,26862656
1904,0.256079,177560,26989120
1912,0.257233,178392,27115584
1920,0.258374,179224,27242048
1928,0.259526,180056,27368512
1936,0.260675,180888,27494976
1944,0.261865,181720,27621440
1952,0.263054,182552,27747904
1960,0.264245,183384,27874368
1968,0.265449,184216,28000832
1976,0.266602,185048,28127296
1984,0.267793,185880,28253760
1992,0.268994,186712,28380224
2000,0.270173,187544,28506688
2008,0.271313,188376,28633152
2016,0.272507,189208,28759616
2024,0.273651,190040,28886080
2032,0.274834,190872,29012544
2040,0.275973,191704,29139008
2048,0.277153,192536,29265472
2056,0.278541,193448,29404096
2064,0.279755,194360,29542720
2072,0.280981,195272,29681344
2080,0.282209,196184,29819968
2088,0.283477,197096,29958592
2096,0.284757,198008,30097216
2104,0.285974,198920,30235840
2112,0.28725,199832,30374464
2120,0.288537,200744,30513088
2128,0.289783,201656,30651712
2136,0.291008,202568,30790336
2144,0.29223,203480,30928960
2152,0.293466,204392,31067584
2160,0.294689,205304,31206208
2168,0.295908,206216,31344832
2176,0.297139,207128,31483456
2184,0.298362,208040,31622080
2192,0.299597,208952,31760704
2200,0.300845,209864,31899328
2208,0.30209,210776,32037952
2216,0.303331,211688,32176576
2224,0.30463,212600,32315200
2232,0.305918,213512,32453824
2240,0.307175,214424,32592448
2248,0.308419,215336,32731072
2256,0.30967,216248,32869696
2264,0.310902,217160,33008320
2272,0.312147,218072,33146944
2280,0.313439,218984,33285568
2288,0.314726,219896,33424192
2296,0.31598,220808,33562816
2304,0.317268,221720,33701440
2312,0.318559,222632,33840064
2320,0.31981,223544,33978688
2328,0.321097,224456,34117312
2336,0.32233,225368,34255936
2344,0.323565,226280,34394560
2352,0.324815,227192,34533184
2360,0.326052,228104,34671808
2368,0.327282,229016,34810432
2376,0.328525,229928,34949056
2384,0.329768,230840,35087680
2392,0.331043,231752,35226304
2400,0.332283,232664,35364928
2408,0.333528,233576,35503552
2416,0.334788,234488,35642176
2424,0.336072,235400,35780800
2432,0.337318,236312,35919424
2440,0.33858,237224,36058048
2448,0.339833,238136,36196672
2456,0.341088,239048,36335296
2464,0.342326,239960,36473920
2472,0.343563,240872,36612544
2480,0.344822,241784,36751168
2488,0.34607,242696,36889792
2496,0.347344,243608,37028416
2504,0.348627,244520,37167040
2512,0.349876,245432,37305664
2520,0.35116,246344,37444288
2528,0.352477,247256,37582912
2536,0.353768,248168,37721536
2544,0.355069,249080,37860160
2552,0.356356,249992,37998784
2560,0.357617,250904,38137408
2568,0.358879,251816,38276032
2576,0.360116,252728,38414656
2584,0.361406,253640,38553280
2592,0.362687,254552,38691904
2600,0.363987,255464,38830528
2608,0.365294,256376,38969152
2616,0.366591,257288,39107776
2624,0.367892,258200,39246400
2632,0.369186,259112,39385024
2640,0.370428,260024,39523648
2648,0.371666,260936,39662272
2656,0.372918,261848,39800896
2664,0.374158,262760,39939520
2672,0.375399,263672,40078144
2680,0.376653,264584,40216768
2688,0.377894,265496,40355392
2696,0.379146,266408,40494016
2704,0.3804,267320,40632640
2712,0.381641,268232,40771264
2720,0.382928,269144,40909888
2728,0.384212,270056,41048512
2736,0.385469,270968,41187136
2744,0.386711,271880,41325760
2752,0.387949,272792,41464384
2760,0.389211,273704,41603008
2768,0.390457,274616,41741632
2776,0.3917,275528,41880256
2784,0.392956,276440,42018880
2792,0.394216,277352,42157504
2800,0.395464,278264,42296128
2808,0.396719,279176,42434752
2816,0.397959,280088,42573376
2824,0.399213,281000,42712000
2832,0.400467,281912,42850624
2840,0.401709,282824,42989248
2848,0.402953,283736,43127872
2856,0.404198,284648,43266496
2864,0.405453,285560,43405120
2872,0.406696,286472,43543744
2880,0.407936,287384,43682368
2888,0.409197,288296,43820992
2896,0.410442,289208,43959616
2904,0.411683,290120,44098240
2912,0.412942,291032,44236864
2920,0.414188,291944,44375488
2928,0.415431,292856,44514112
2936,0.416686,293768,44652736
2944,0.417929,294680,44791360
2952,0.419182,295592,44929984
2960,0.420434,296504,45068608
2968,0.421681,297416,45207232
2976,0.422924,298328,45345856
2984,0.424163,299240,45484480
2992,0.425415,300152,45623104
3000,0.42666,301064,45761728
3008,0.427907,301976,45900352
3016,0.429175,302888,46038976
3024,0.430421,303800,46177600
3032,0.431729,304712,46316224
3040,0.433044,305624,46454848
3048,0.434347,306536,46593472
3056,0.435597,307448,46732096
3064,0.43691,308360,46870720
3072,0.438212,309272,47009344
3080,0.439488,310184,47147968
3088,0.440743,311096,47286592
3096,0.44201,312008,47425216
3104,0.443314,312920,47563840
3112,0.444629,313832,47702464
3120,0.445932,314744,47841088
3128,0.447233,315656,47979712
3136,0.448507,316568,48118336
3144,0.449773,317480,48256960
3152,0.451014,318392,48395584
3160,0.452261,319304,48534208
3168,0.453511,320216,48672832
3176,0.454775,321128,48811456
3184,0.456033,322040,48950080
3192,0.457299,322952,49088704
3200,0.458545,323864,49227328
3208,0.459808,324776,49365952
3216,0.461066,325688,49504576
3224,0.462309,326600,49643200
3232,0.463553,327512,49781824
3240,0.464811,328424,49920448
3248,0.466067,329336,50059072
3256,0.467318,330248,50197696
3264,0.468577,331160,50336320
3272,0.469837,332072,50474944
3280,0.471084,332984,50613568
3288,0.472341,333896,50752192
3296,0.473588,334808,50890816
3304,0.474835,335720,51029440
3312,0.476083,336632,51168064
3320,0.477344,337544,51306688
3328,0.478589,338456,51445312
3336,0.479846,339368,51583936
3344,0.481105,340280,51722560
3352,0.482353,341192,51861184
3360,0.483599,342104,51999808
3368,0.484854,343016,52138432
3376,0.486109,343928,52277056
3384,0.487354,344840,52415680
3392,0.488606,345752,52554304
3400,0.489862,346664,52692928
3408,0.491113,347576,52831552
3416,0.492372,348488,52970176
3424,0.493618,349400,53108800
3432,0.494865,350312,53247424
3440,0.496113,351224,53386048
3448,0.49737,352136,53524672
3456,0.498617,353048,53663296
3464,0.499872,353960,53801920
3472,0.501137,354872,53940544
3480,0.502423,355784,54079168
3488,0.503728,356696,54217792
3496,0.505022,357608,54356416
3504,0.506328,358520,54495040
