n,alloc,init,init_accesses,init_bytes,fill,fill_accesses,fill_bytes,rar,rar_accesses,rar_bytes
1,6.649e-06,0.000120569,1,152,0.000132957,4,608,3.5185e-06,2,304
2,6.424e-06,0.000120203,3,456,0.000149583,16,2432,6.0825e-06,4,608
3,7.429e-06,0.000121435,7,1064,0.000196929,48,7296,8.4678e-06,6,912
4,7.031e-06,0.000135332,15,2280,0.000334688,128,19456,1.10894e-05,8,1216
5,7.175e-06,0.000159966,31,4712,0.00063741,320,48640,1.4238e-05,10,1520
6,8.797e-06,0.000218917,63,9576,0.00131214,768,116736,1.65428e-05,12,1824
7,1.2846e-05,0.000322286,127,19304,0.00303641,1792,272384,2.05263e-05,14,2128
8,1.6656e-05,0.000536748,255,38760,0.00629044,4096,622592,2.20875e-05,16,2432
9,2.4601e-05,0.000970547,511,77672,0.0140514,9216,1400832,2.45962e-05,18,2736
10,4.592e-05,0.00183387,1023,155496,0.0306068,20480,3112960,2.73366e-05,20,3040
11,8.3103e-05,0.00359499,2047,311144,0.113155,45056,6848512,6.08682e-05,22,3344
12,0.00025897,0.0144603,4095,622440,0.286556,98304,14942208,3.49107e-05,24,3648
13,0.000373853,0.0140984,8191,1245032,0.310766,212992,32374784,3.57339e-05,26,3952
14,0.000763614,0.0285025,16383,2490216,0.668592,458752,69730304,3.86783e-05,28,4256
15,0.00155813,0.056355,32767,4980584,1.4582,983040,149422080,4.25337e-05,30,4560
16,0.00311244,0.112167,65535,9961320,3.03445,2097152,318767104,4.42469e-05,32,4864
17,0.00626529,0.289172,131071,19922792,10.5405,4456448,677380096,4.76762e-05,34,5168
18,0.0124193,0.450664,262143,39845736,13.7896,9437184,1434451968,5.02408e-05,36,5472
19,0.0246905,0.906218,524287,79691624,47.4051,19922944,3028287488,5.34139e-05,38,5776
20,0.049691,1.7961,1048575,159383400,69.8058,41943040,6375342080,0.000111359,40,6080
21,0.127924,7.13092,2097151,318766952,253.569,88080384,13388218368,0.000116862,42,6384
22,0.255634,14.2767,4194303,637534056,443.883,184549376,28051505152,0.000121881,44,6688
23,0.509701,28.746,8388607,1275068264,1117.59,385875968,58653147136,0.000128568,46,6992
24,1.02374,57.7509,16777215,2550136680,1570.2,805306368,122406567936,0.000135141,48,7296
