,n,alloc,init,init_accesses,init_bytes,fill,fill_accesses,fill_bytes,read,read_accesses,read_bytes,rar,rar_accesses,rar_bytes
0,1,6.604e-06,0.000120317,1,216,0.000205788,40,8640,3.77384e-05,20,4320,3.93118e-05,20,4320
1,2,5.109e-06,0.000118249,3,648,0.000645862,288,62208,0.000127987,72,15552,0.000127082,72,15552
2,3,8.576e-06,0.000200719,7,1512,0.00415761,1248,269568,0.000495224,156,33696,0.000493432,156,33696
3,4,1.1056e-05,0.000228528,15,3240,0.0112807,4608,995328,0.000457177,288,62208,0.000447673,288,62208
4,5,6.795e-06,0.000170118,31,6696,0.0259274,14080,3041280,0.00133935,440,95040,0.00133477,440,95040
5,6,1.2215e-05,0.000417492,63,13608,0.105723,39936,8626176,0.000950485,624,134784,0.00094887,624,134784
6,7,1.5015e-05,0.000377697,127,27432,0.172035,111104,23998464,0.00133517,868,187488,0.00133278,868,187488
7,8,2.0549e-05,0.000606462,255,55080,0.751174,286720,61931520,0.00171365,1120,241920,0.00171397,1120,241920
8,9,3.8577e-05,0.00104972,511,110376,1.06845,718848,155271168,0.00207411,1404,303264,0.00208379,1404,303264
9,10,7.0806e-05,0.00208287,1023,220968,4.59777,1802240,389283840,0.00264989,1760,380160,0.00261451,1760,380160
10,11,0.000144077,0.00405508,2047,442152,6.74762,4325376,934281216,0.0032995,2112,456192,0.00330193,2112,456192
11,12,0.000270066,0.00801856,4095,884520,24.1245,10223616,2208301056,0.00391036,2496,539136,0.0038955,2496,539136
12,13,0.000531282,0.0161179,8191,1769256,37.0257,24281088,5244715008,0.00452836,2964,640224,0.00451463,2964,640224
13,14,0.00114224,0.0307947,16383,3538728,93.1576,55967744,12089032704,0.0100999,3416,737856,0.0100856,3416,737856
14,15,0.00290039,0.121845,32767,7077672,306.903,127795200,27603763200,0.0117099,3900,842400,0.0116736,3900,842400
15,16,0.00579569,0.245164,65535,14155560,870.344,293601280,63417876480,0.0132939,4480,967680,0.0132763,4480,967680
16,17,0.0114845,0.478209,131071,28311336,1436.88,659554304,142463729664,0.015005,5032,1086912,0.0149348,5032,1086912
17,18,0.0231857,0.954509,262143,56622888,3096.65,1472200704,317995352064,0.00892223,5616,1213056,0.00890084,5616,1213056
18,19,0.0357254,0.987862,524287,113245992,4934.95,3307208704,714357080064,0.00941002,6308,1362528,0.00943215,6308,1362528
19,20,0.0718287,1.96129,1048575,226492200,10866.3,7298088960,1576387215360,0.0104533,6960,1503360,0.0103846,6960,1503360
20,21,0.144674,3.94679,2097151,452984616,24116.9,16030629888,3462616055808,0.0116168,7644,1651104,0.0114315,7644,1651104
21,22,0.285639,8.17078,4194303,905969448,54635.4,35433480192,7653631721472,0.0130908,8448,1824768,0.0130489,8448,1824768
22,23,0.570294,15.6416,8388607,1811939112,116054.0,77175193600,16669841817600,0.0138828,9200,1987200,0.0138382,9200,1987200
23,24,1.15498,32.9353,16777215,3623878440,276636.0,167503724544,36180804501504,0.0163571,9984,2156544,0.0162678,9984,2156544
