n,rar,rar_accesses,rar_bytes
16777344,0.000339635,234,35568
16777216,0.000339103,234,35568
16777088,0.000328935,234,35568
16776960,0.000330633,234,35568
16776832,0.00033099,234,35568
16776704,0.000332466,234,35568
16776576,0.000328716,234,35568
16776448,0.000330327,234,35568
16776320,0.000338101,234,35568
16776192,0.000332894,234,35568
16776064,0.000326749,234,35568
16775936,0.000331101,234,35568
16775808,0.000329534,234,35568
16775680,0.000325865,234,35568
16775552,0.000329012,234,35568
16775424,0.000339869,234,35568
16775296,0.000329459,234,35568
16775168,0.000331446,234,35568
16775040,0.000329537,234,35568
16774912,0.000328649,234,35568
16774784,0.000330153,234,35568
16774656,0.000331111,234,35568
16774528,0.000336927,234,35568
16774400,0.000327473,234,35568
16774272,0.000328193,234,35568
16774144,0.000327149,234,35568
16774016,0.000330392,234,35568
16773888,0.000330253,234,35568
16773760,0.000327328,234,35568
16773632,0.000332095,234,35568
16773504,0.000328224,234,35568
16773376,0.000327837,234,35568
16773248,0.000339763,234,35568
16773120,0.000336064,234,35568
16772992,0.000340144,234,35568
16772864,0.000327373,234,35568
16772736,0.000329567,234,35568
16772608,0.000326555,234,35568
16772480,0.000326019,234,35568
16772352,0.000328045,234,35568
16772224,0.00032833,234,35568
16772096,0.000327038,234,35568
16771968,0.000328551,234,35568
16771840,0.000329775,234,35568
16771712,0.000327986,234,35568
16771584,0.0003269,234,35568
16771456,0.000340806,234,35568
16771328,0.000327572,234,35568
16771200,0.000326019,234,35568
16771072,0.000327335,234,35568
16770944,0.000328035,234,35568
16770816,0.000327939,234,35568
16770688,0.000328587,234,35568
16770560,0.000330192,234,35568
16770432,0.000338149,234,35568
16770304,0.000329167,234,35568
16770176,0.000329808,234,35568
16770048,0.000329596,234,35568
16769920,0.000327462,234,35568
16769792,0.000329603,234,35568
16769664,0.000330154,234,35568
16769536,0.000327863,234,35568
16769408,0.000328495,234,35568
16769280,0.000329911,234,35568
16769152,0.000328986,234,35568
16769024,0.000339763,234,35568
16768896,0.000328067,234,35568
16768768,0.000328344,234,35568
16768640,0.000336447,234,35568
16768512,0.000328527,234,35568
16768384,0.000339434,234,35568
16768256,0.000330424,234,35568
16768128,0.000327248,234,35568
16768000,0.000329795,234,35568
16767872,0.000329084,234,35568
16767744,0.00032765,234,35568
16767616,0.000327431,234,35568
16767488,0.000329133,234,35568
16767360,0.000330469,234,35568
16767232,0.000326988,234,35568
16767104,0.000327577,234,35568
16766976,0.000329611,234,35568
16766848,0.000332224,234,35568
16766720,0.000329061,234,35568
16766592,0.000329407,234,35568
16766464,0.000328873,234,35568
16766336,0.000330097,234,35568
16766208,0.000338875,234,35568
16766080,0.000337853,234,35568
16765952,0.000326562,234,35568
16765824,0.000329469,234,35568
16765696,0.000328299,234,35568
16765568,0.000329405,234,35568
16765440,0.000327895,234,35568
16765312,0.000327824,234,35568
16765184,0.000336907,234,35568
16765056,0.000327094,234,35568
16764928,0.000331898,234,35568
16764800,0.000329987,234,35568
16764672,0.000327786,234,35568
