n,fill,fill_accesses,fill_bytes,rar,rar_accesses,rar_bytes
816,0.0427571,30158,4584016,2.68588e-05,20,3040
824,0.0429821,30318,4608336,2.69032e-05,20,3040
832,0.0432074,30478,4632656,2.69556e-05,20,3040
840,0.0434321,30638,4656976,2.6941e-05,20,3040
848,0.0436567,30798,4681296,2.69944e-05,20,3040
856,0.0438801,30958,4705616,2.69135e-05,20,3040
864,0.0441048,31118,4729936,2.69204e-05,20,3040
872,0.0443286,31278,4754256,2.68946e-05,20,3040
880,0.0445533,31438,4778576,2.69339e-05,20,3040
888,0.0447782,31598,4802896,2.69899e-05,20,3040
896,0.0450034,31758,4827216,2.69948e-05,20,3040
904,0.045228,31918,4851536,2.6892e-05,20,3040
912,0.0454513,32078,4875856,2.69556e-05,20,3040
920,0.0456759,32238,4900176,2.69528e-05,20,3040
928,0.04591,32398,4924496,2.69507e-05,20,3040
936,0.0461343,32558,4948816,2.69455e-05,20,3040
944,0.0463591,32718,4973136,2.68997e-05,20,3040
952,0.0465837,32878,4997456,2.69849e-05,20,3040
960,0.0468087,33038,5021776,2.69169e-05,20,3040
968,0.0470426,33198,5046096,2.80122e-05,20,3040
976,0.0472671,33358,5070416,2.69038e-05,20,3040
984,0.047493,33518,5094736,2.69172e-05,20,3040
992,0.047718,33678,5119056,2.69217e-05,20,3040
1000,0.0479426,33838,5143376,2.69944e-05,20,3040
1008,0.0481773,33998,5167696,2.7366e-05,20,3040
1016,0.0484024,34158,5192016,2.6977e-05,20,3040
1024,0.0487395,34318,5216336,0.000162637,122,18544
1032,0.0500466,35294,5364688,0.000166371,122,18544
1040,0.051355,36270,5513040,0.000167168,122,18544
1048,0.0526779,37246,5661392,0.000169157,122,18544
1056,0.0540232,38222,5809744,0.000167426,122,18544
1064,0.0553634,39198,5958096,0.000168945,122,18544
1072,0.0566952,40174,6106448,0.000167708,122,18544
1080,0.0580357,41150,6254800,0.000167821,122,18544
1088,0.0593905,42126,6403152,0.000169509,122,18544
1096,0.0607366,43102,6551504,0.000169835,122,18544
1104,0.0620852,44078,6699856,0.000168422,122,18544
1112,0.0634401,45054,6848208,0.000168267,122,18544
1120,0.064791,46030,6996560,0.00016892,122,18544
1128,0.0661462,47006,7144912,0.000170082,122,18544
1136,0.0675043,47982,7293264,0.000170097,122,18544
1144,0.0688725,48958,7441616,0.000168858,122,18544
1152,0.0702449,49934,7589968,0.000168985,122,18544
1160,0.0715911,50910,7738320,0.00016835,122,18544
1168,0.0729483,51886,7886672,0.000153512,110,16780
1176,0.0736528,52398,7964496,8.74956e-05,64,9728
