test,bs,n,alloc,init,init_accesses,init_bytes,insert,insert_accesses,insert_bytes,search,search_accesses,search_bytes,delete,delete_accesses,delete_bytes,disk,max_mem_level
somap,227,14,1.06075e-06,0,0,0,0.00456389,244,1817312,0.00475859,244,1817312,0.00481587,244,1817312,0,0
somap,227,15,1.3395e-06,0,0,0,0.00530403,260,2074800,0.00546571,260,2074800,0.00552542,260,2074800,0,0
somap,227,16,6.5255e-06,0,0,0,0.00726301,280,2383360,0.00701868,280,2383360,0.00695441,280,2383360,0,0
somap,227,17,5.08875e-06,0,0,0,0.00805025,296,2677024,0.00785046,296,2677024,0.00788965,296,2677024,0,0
somap,227,18,4.507e-06,0,0,0,0.00890451,312,2987712,0.00881434,312,2987712,0.00881259,312,2987712,0,0
somap,227,19,6.6465e-06,0,0,0,0.010398,332,3355856,0.0101571,332,3355856,0.0102328,332,3355856,0,0
somap,227,20,6.45575e-06,0,0,0,0.0115972,348,3702720,0.0113923,348,3702720,0.0115249,348,3702720,0,0
somap,4067,1,1.912e-06,0,0,0,0.000197696,20,164240,0.000188036,20,164240,0.000186125,20,164240,0,0
somap,4067,2,4.74e-07,0,0,0,0.000657475,36,591264,0.000663338,36,591264,0.000656865,36,591264,0,0
somap,4067,3,5.7425e-07,0,0,0,0.00141117,52,1281072,0.00143796,52,1281072,0.00142571,52,1281072,0,0
somap,4067,4,6.0075e-07,0,0,0,0.0025836,72,2365056,0.00261947,72,2365056,0.00262382,72,2365056,0,0
somap,4067,5,5.94e-07,0,0,0,0.00391091,88,3613280,0.00399215,88,3613280,0.00399038,88,3613280,0,0
somap,4067,6,6.9575e-07,0,0,0,0.00549475,104,5124288,0.0056431,104,5124288,0.00565062,104,5124288,0,0
somap,4067,7,8.28e-07,0,0,0,0.00759989,124,7128016,0.00782688,124,7128016,0.00785235,124,7128016,0,0
somap,4067,8,9.845e-07,0,0,0,0.00975807,140,9197440,0.0100373,140,9197440,0.010114,140,9197440,0,0
somap,4067,9,1.63925e-06,0,0,0,0.0122052,156,11529648,0.0125931,156,11529648,0.0127029,156,11529648,0,0
somap,4067,10,1.8575e-06,0,0,0,0.015274,176,14453120,0.0156868,176,14453120,0.0158475,176,14453120,0,0
somap,4067,11,1.4565e-06,0,0,0,0.0182444,192,17343744,0.0187446,192,17343744,0.0188855,192,17343744,0,0
somap,4067,12,9.103e-06,0,0,0,0.02463,208,20497152,0.0238593,208,20497152,0.023646,208,20497152,0,0
somap,4067,13,8.71275e-06,0,0,0,0.0293946,228,24340368,0.0287859,228,24340368,0.0284548,228,24340368,0,0
somap,4067,14,9.07575e-06,0,0,0,0.0340034,244,28052192,0.0332666,244,28052192,0.033108,244,28052192,0,0
somap,4067,15,9.867e-06,0,0,0,0.0393967,260,32026800,0.0385736,260,32026800,0.0382537,260,32026800,0,0
somap,4067,16,1.0506e-05,0,0,0,0.0455029,280,36789760,0.0445727,280,36789760,0.0440281,280,36789760,0,0
somap,4067,17,1.01085e-05,0,0,0,0.0513519,296,41322784,0.0502367,296,41322784,0.0499074,296,41322784,0,0
somap,4067,18,1.08233e-05,0,0,0,0.0576911,312,46118592,0.0563867,312,46118592,0.0560742,312,46118592,0,0
somap,4067,19,1.11077e-05,0,0,0,0.0649519,332,51801296,0.0636827,332,51801296,0.0634284,332,51801296,0,0
somap,4067,20,1.01247e-05,0,0,0,0.0720508,348,57155520,0.0709318,348,57155520,0.0704513,348,57155520,0,0
domap,11,1,2.04475e-06,0,0,0,0.000243433,112,18400,0.00011856,56,9200,0.000117551,56,9200,0,0
domap,11,2,2.895e-07,0,0,0,0.000538826,176,45600,0.000274321,88,22800,0.000276828,88,22800,0,0
domap,11,3,5.7025e-07,0,0,0,0.0010297,248,88800,0.000515871,124,44400,0.000507101,124,44400,0,0
domap,11,4,7.775e-07,0,0,0,0.00161842,320,145600,0.000819896,160,72800,0.000825435,160,72800,0,0
domap,11,5,5.7075e-07,0,0,0,0.00231904,384,212800,0.00118655,192,106400,0.00118379,192,106400,0,0
domap,11,6,5.26e-07,0,0,0,0.00321371,456,298400,0.00164519,228,149200,0.00164611,228,149200,0,0
domap,11,7,6.645e-07,0,0,0,0.00422909,528,397600,0.00215415,264,198800,0.00216831,264,198800,0,0
domap,11,8,6.21e-07,0,0,0,0.00518126,592,504800,0.00268897,296,252400,0.0027085,296,252400,0,0
domap,11,9,2.85475e-06,0,0,0,0.00639311,664,632800,0.00330611,332,316400,0.00334244,332,316400,0,0
domap,11,10,2.11375e-06,0,0,0,0.00774167,736,774400,0.00397732,368,387200,0.00402163,368,387200,0,0
domap,11,11,1.385e-06,0,0,0,0.00907479,800,921600,0.00466514,400,460800,0.00470409,400,460800,0,0
domap,11,12,9.8425e-07,0,0,0,0.0106623,872,1092000,0.00546884,436,546000,0.00552369,436,546000,0,0
domap,11,13,1.38325e-06,0,0,0,0.0127325,944,1276000,0.00633368,472,638000,0.00639836,472,638000,0,0
domap,11,14,1.3215e-06,0,0,0,0.0142286,1008,1463200,0.00726051,504,731600,0.00729915,504,731600,0,0
domap,11,15,1.642e-06,0,0,0,0.016396,1080,1676000,0.0083358,540,838000,0.00835839,540,838000,0,0
domap,11,16,1.392e-06,0,0,0,0.0186222,1152,1902400,0.00944677,576,951200,0.00950058,576,951200,0,0
domap,11,17,2.009e-06,0,0,0,0.021815,1216,2129600,0.0108806,608,1064800,0.0109387,608,1064800,0,0
domap,11,18,8.0175e-06,0,0,0,0.0264721,1288,2384800,0.0129275,644,1192400,0.0128576,644,1192400,0,0
domap,11,19,1.01663e-05,0,0,0,0.0300642,1360,2653600,0.0146072,680,1326800,0.014507,680,1326800,0,0
domap,11,20,1.00235e-05,0,0,0,0.0332028,1424,2920800,0.0161295,712,1460400,0.0160742,712,1460400,0,0
domap,131,1,7.3575e-07,0,0,0,0.000281209,112,62560,0.000137424,56,31280,0.00013704,56,31280,0,0
domap,131,2,4e-07,0,0,0,0.000639873,176,155040,0.000319574,88,77520,0.000319749,88,77520,0,0
domap,131,3,4.2825e-07,0,0,0,0.00120557,248,301920,0.000603575,124,150960,0.000611325,124,150960,0,0
domap,131,4,4.7175e-07,0,0,0,0.00194074,320,495040,0.000982076,160,247520,0.000978146,160,247520,0,0
domap,131,5,5.4225e-07,0,0,0,0.00279841,384,723520,0.00141909,192,361760,0.00141999,192,361760,0,0
domap,131,6,5.5225e-07,0,0,0,0.00383711,456,1014560,0.0019688,228,507280,0.00197389,228,507280,0,0
domap,131,7,6.705e-07,0,0,0,0.00503593,528,1351840,0.00259619,264,675920,0.00261312,264,675920,0,0
domap,131,8,5.5e-07,0,0,0,0.00625582,592,1716320,0.00323884,296,858160,0.00327298,296,858160,0,0
domap,131,9,7.3e-07,0,0,0,0.0077081,664,2151520,0.00399574,332,1075760,0.00403441,332,1075760,0,0
