test,bs,n,alloc,init,init_accesses,init_bytes,insert,insert_accesses,insert_bytes,search,search_accesses,search_bytes,delete,delete_accesses,delete_bytes,disk,max_mem_level
domap,11,23,1.26615e-05,0,0,0,0.0457369,1632,3836800,0.022318,816,1918400,0.0221395,816,1918400,0,0
domap,11,24,1.28485e-05,0,0,0,0.0503541,1696,4156800,0.0247516,848,2078400,0.0245688,848,2078400,0,0
somap,11,24,0.016534,0,0,0,0.0408204,416,998400,0.0381362,416,998400,0.0378946,416,998400,1,22
domap,11,22,1.52983e-05,0,0,0,0.0984695,1568,3529600,0.055165,784,1764800,0.0607481,784,1764800,1,21
domap,11,23,0.0172712,0,0,0,0.423178,1632,3836800,0.227488,816,1918400,0.227801,816,1918400,1,21
domap,11,24,0.0213544,0,0,0,0.71499,1696,4156800,0.398921,848,2078400,0.371043,848,2078400,1,21
somap,11,23,0.0165263,0,0,0,0.0804878,400,920000,0.0837977,400,920000,0.0881529,400,920000,1,21
somap,11,24,0.0160025,0,0,0,0.154438,416,998400,0.160025,416,998400,0.157757,416,998400,1,21
domap,11,21,1.5085e-05,0,0,0,0.153956,1496,3218400,0.0846728,748,1609200,0.082837,748,1609200,1,20
domap,11,22,0.0182054,0,0,0,0.409892,1568,3529600,0.221355,784,1764800,0.221017,784,1764800,1,20
domap,11,23,0.0222346,0,0,0,0.69042,1632,3836800,0.373246,816,1918400,0.367908,816,1918400,1,20
domap,11,24,0.0259683,0,0,0,0.996874,1696,4156800,0.525387,848,2078400,0.52802,848,2078400,1,20
somap,11,22,0.014536,0,0,0,0.0784005,384,844800,0.0792183,384,844800,0.0815297,384,844800,1,20
somap,11,23,0.0149027,0,0,0,0.149788,400,920000,0.152314,400,920000,0.153697,400,920000,1,20
somap,11,24,0.0176833,0,0,0,0.222268,416,998400,0.230356,416,998400,0.228289,416,998400,1,20
domap,11,20,1.38527e-05,0,0,0,0.142798,1424,2920800,0.0843386,712,1460400,0.0718731,712,1460400,1,19
domap,11,21,0.0194381,0,0,0,0.396235,1496,3218400,0.21562,748,1609200,0.212547,748,1609200,1,19
domap,11,22,0.0240877,0,0,0,0.658756,1568,3529600,0.356663,784,1764800,0.355726,784,1764800,1,19
domap,11,23,0.0239405,0,0,0,0.956162,1632,3836800,0.510956,816,1918400,0.509393,816,1918400,1,19
domap,11,24,0.0264679,0,0,0,1.2769,1696,4156800,0.667891,848,2078400,0.672103,848,2078400,1,19
