n,rar,rar_accesses,rar_bytes
16777344,0.000353925,234,35568
16777216,0.00035012,234,35568
16777088,0.000352573,234,35568
16776960,0.000352154,234,35568
16776832,0.000348623,234,35568
16776704,0.000356371,234,35568
16776576,0.00034848,234,35568
16776448,0.000347821,234,35568
16776320,0.000350273,234,35568
16776192,0.00035235,234,35568
16776064,0.000349544,234,35568
16775936,0.000352181,234,35568
16775808,0.000351434,234,35568
16775680,0.000352482,234,35568
16775552,0.000351846,234,35568
16775424,0.000350022,234,35568
16775296,0.000348413,234,35568
16775168,0.000352229,234,35568
16775040,0.000360011,234,35568
16774912,0.000361441,234,35568
16774784,0.000349318,234,35568
16774656,0.000356954,234,35568
16774528,0.000358716,234,35568
16774400,0.000345995,234,35568
16774272,0.000353589,234,35568
16774144,0.000350327,234,35568
16774016,0.000348533,234,35568
16773888,0.000350552,234,35568
16773760,0.000350482,234,35568
16773632,0.000351535,234,35568
16773504,0.000350566,234,35568
16773376,0.000358602,234,35568
16773248,0.00035332,234,35568
16773120,0.000354302,234,35568
16772992,0.00035138,234,35568
16772864,0.00034884,234,35568
16772736,0.00035793,234,35568
16772608,0.000348674,234,35568
16772480,0.000344946,234,35568
16772352,0.000349053,234,35568
16772224,0.000351426,234,35568
16772096,0.000351182,234,35568
16771968,0.000351491,234,35568
16771840,0.000349904,234,35568
16771712,0.000341285,234,35568
16771584,0.00034848,234,35568
16771456,0.000360503,234,35568
16771328,0.000343542,234,35568
16771200,0.000357819,234,35568
16771072,0.000348312,234,35568
16770944,0.000348923,234,35568
16770816,0.000344051,234,35568
16770688,0.000362642,234,35568
16770560,0.000350346,234,35568
16770432,0.000347643,234,35568
16770304,0.000345155,234,35568
16770176,0.000346441,234,35568
16770048,0.000353086,234,35568
16769920,0.00034832,234,35568
16769792,0.000345377,234,35568
16769664,0.000343915,234,35568
16769536,0.000348275,234,35568
16769408,0.000350534,234,35568
16769280,0.000350662,234,35568
16769152,0.000350038,234,35568
16769024,0.000355122,234,35568
16768896,0.000347258,234,35568
16768768,0.00036253,234,35568
16768640,0.00035317,234,35568
16768512,0.000350224,234,35568
16768384,0.00034162,234,35568
16768256,0.000352056,234,35568
16768128,0.000348808,234,35568
16768000,0.000344412,234,35568
16767872,0.000363232,234,35568
16767744,0.000350713,234,35568
16767616,0.000345857,234,35568
16767488,0.000349613,234,35568
16767360,0.00034702,234,35568
16767232,0.000349721,234,35568
16767104,0.000350932,234,35568
16766976,0.00034872,234,35568
16766848,0.000351714,234,35568
16766720,0.000346136,234,35568
16766592,0.000345256,234,35568
16766464,0.000349326,234,35568
16766336,0.000356522,234,35568
16766208,0.000345438,234,35568
16766080,0.000344475,234,35568
16765952,0.000350336,234,35568
16765824,0.000347308,234,35568
16765696,0.00034649,234,35568
16765568,0.000348522,234,35568
16765440,0.000348732,234,35568
16765312,0.000357158,234,35568
16765184,0.000349333,234,35568
16765056,0.000349174,234,35568
16764928,0.000351061,234,35568
16764800,0.000349522,234,35568
16764672,0.000358055,234,35568
16764544,0.000350156,234,35568
16764416,0.000343975,234,35568
16764288,0.000345406,234,35568
16764160,0.000351319,234,35568
16764032,0.000348199,234,35568
16763904,0.000349967,234,35568
16763776,0.000349355,234,35568
16763648,0.000351663,234,35568
16763520,0.000349773,234,35568
16763392,0.000361521,234,35568
16763264,0.000349474,234,35568
16763136,0.000350378,234,35568
16763008,0.000347087,234,35568
16762880,0.000350192,234,35568
16762752,0.00034891,234,35568
16762624,0.0003583,234,35568
16762496,0.000347415,234,35568
16762368,0.000349356,234,35568
16762240,0.000349513,234,35568
16762112,0.000347251,234,35568
16761984,0.000351737,234,35568
16761856,0.000344847,234,35568
16761728,0.000348035,234,35568
16761600,0.00034476,234,35568
16761472,0.000352824,234,35568
16761344,0.00035004,234,35568
16761216,0.000348923,234,35568
16761088,0.000349573,234,35568
16760960,0.000345724,234,35568
16760832,0.000370464,234,35568
16760704,0.000351802,234,35568
16760576,0.000349989,234,35568
16760448,0.000350033,234,35568
16760320,0.000351163,234,35568
16760192,0.000354525,234,35568
16760064,0.000347572,234,35568
16759936,0.000351644,234,35568
16759808,0.000350505,234,35568
16759680,0.00034491,234,35568
16759552,0.000349987,234,35568
16759424,0.000351085,234,35568
16759296,0.000349262,234,35568
16759168,0.000345785,234,35568
16759040,0.00035023,234,35568
16758912,0.000349846,234,35568
16758784,0.000358973,234,35568
16758656,0.000350079,234,35568
16758528,0.000347778,234,35568
16758400,0.000347521,234,35568
16758272,0.000352275,234,35568
16758144,0.000347308,234,35568
16758016,0.00034794,234,35568
16757888,0.000346092,234,35568
16757760,0.000350661,234,35568
16757632,0.000352072,234,35568
16757504,0.000349946,234,35568
16757376,0.000348004,234,35568
16757248,0.000348136,234,35568
16757120,0.000358258,234,35568
16756992,0.000349697,234,35568
16756864,0.000346836,234,35568
16756736,0.000350119,234,35568
16756608,0.000359328,234,35568
16756480,0.000345836,234,35568
16756352,0.000347265,234,35568
16756224,0.000350242,234,35568
16756096,0.000350093,234,35568
16755968,0.000348431,234,35568
16755840,0.000345696,234,35568
16755712,0.000351272,234,35568
16755584,0.000348524,234,35568
16755456,0.000348721,234,35568
16755328,0.000354744,234,35568
16755200,0.000350915,234,35568
16755072,0.000352656,234,35568
16754944,0.000349936,234,35568
16754816,0.000345096,234,35568
16754688,0.000349413,234,35568
16754560,0.000350778,234,35568
16754432,0.000350917,234,35568
16754304,0.000352861,234,35568
16754176,0.000350828,234,35568
16754048,0.000349609,234,35568
16753920,0.000348947,234,35568
16753792,0.000353599,234,35568
16753664,0.000344066,234,35568
16753536,0.000352429,234,35568
16753408,0.000349914,234,35568
16753280,0.000350133,234,35568
16753152,0.000351911,234,35568
16753024,0.000354995,234,35568
16752896,0.000346256,234,35568
16752768,0.000349515,234,35568
16752640,0.000348056,234,35568
