,n,alloc,init,init_accesses,init_bytes,fill,fill_accesses,fill_bytes,read,read_accesses,read_bytes,rar,rar_accesses,rar_bytes
0,1,7.909e-06,0.000128752,1,216,0.000216019,40,8640,3.86952e-05,20,4320,3.86758e-05,20,4320
1,2,5.189e-06,0.000127263,3,648,0.000634162,288,62208,0.000124282,72,15552,0.000135559,72,15552
2,3,5.882e-06,0.000121476,7,1512,0.00225317,1248,269568,0.000246594,156,33696,0.000255308,156,33696
3,4,5.731e-06,0.000135235,15,3240,0.0074336,4608,995328,0.000453642,288,62208,0.000452604,288,62208
4,5,6.794e-06,0.000164403,31,6696,0.0229085,14080,3041280,0.000709384,440,95040,0.000705471,440,95040
5,6,7.808e-06,0.00024498,63,13608,0.0923117,39936,8626176,0.000937751,624,134784,0.00093834,624,134784
6,7,1.4771e-05,0.000344463,127,27432,0.264668,111104,23998464,0.00263006,868,187488,0.00262568,868,187488
7,8,2.9151e-05,0.00112226,255,55080,0.859263,286720,61931520,0.00335573,1120,241920,0.00335276,1120,241920
8,9,5.3673e-05,0.00203505,511,110376,2.14261,718848,155271168,0.00419106,1404,303264,0.00418413,1404,303264
9,10,0.000104749,0.00393744,1023,220968,5.40941,1802240,389283840,0.00530219,1760,380160,0.00526679,1760,380160
10,11,0.000190299,0.00770398,2047,442152,12.9324,4325376,934281216,0.00634298,2112,456192,0.00633887,2112,456192
11,12,0.000369559,0.0153098,4095,884520,21.1339,10223616,2208301056,0.00378953,2496,539136,0.00377539,2496,539136
12,13,0.000553439,0.015945,8191,1769256,61.9602,24281088,5244715008,0.00443802,2964,640224,0.00491545,2964,640224
13,14,0.00152576,0.0595223,16383,3538728,163.244,55967744,12089032704,0.00996907,3416,737856,0.00995528,3416,737856
14,15,0.00286354,0.119177,32767,7077672,376.656,127795200,27603763200,0.0115068,3900,842400,0.0115016,3900,842400
15,16,0.00577135,0.239466,65535,14155560,864.932,293601280,63417876480,0.0132311,4480,967680,0.0132053,4480,967680
16,17,0.0114708,0.480587,131071,28311336,1570.3,659554304,142463729664,0.00742321,5032,1086912,0.00739954,5032,1086912
17,18,0.0179414,0.49431,262143,56622888,2190.61,1472200704,317995352064,0.00836554,5616,1213056,0.00835543,5616,1213056
18,19,0.0369554,1.03156,524287,113245992,5103.52,3307208704,714357080064,0.00976872,6308,1362528,0.00968159,6308,1362528
19,20,0.0725424,1.94677,1048575,226492200,11103.7,7298088960,1576387215360,0.0106425,6960,1503360,0.0105811,6960,1503360
20,21,0.144432,4.04505,2097151,452984616,24634.1,16030629888,3462616055808,0.011906,7644,1651104,0.0117919,7644,1651104
21,22,0.28792,7.82906,4194303,905969448,56527.3,35433480192,7653631721472,0.013061,8448,1824768,0.0129986,8448,1824768
22,23,0.572322,16.4715,8388607,1811939112,120272.0,77175193600,16669841817600,0.0144733,9200,1987200,0.0144569,9200,1987200
23,24,1.15871,32.345,16777215,3623878440,258509.0,167503724544,36180804501504,0.0152776,9984,2156544,0.0152762,9984,2156544
