n,fill,fill_accesses,fill_bytes,read,read_accesses,read_bytes,rar,rar_accesses,rar_bytes
8,0.00372814,2236,482976,0.00024334,156,33696,0.000342577,156,33696
16,0.0172871,9340,2017440,0.000851534,288,62208,0.000510953,288,62208
24,0.0429182,20988,4533408,0.00192763,728,157248,0.00110188,728,157248
32,0.0606045,32636,7049376,0.000665293,440,95040,0.000663749,440,95040
40,0.111142,49660,10726560,0.0031754,1064,229824,0.00316215,1064,229824
48,0.136684,66684,14403744,0.00160026,1064,229824,0.00159722,1064,229824
56,0.162366,83708,18080928,0.00160172,1064,229824,0.00159535,1064,229824
64,0.187919,100732,21758112,0.000933376,624,134784,0.000933299,624,134784
72,0.256027,124604,26914464,0.0044527,1492,322272,0.00442047,1492,322272
80,0.326597,148476,32070816,0.00442539,1492,322272,0.00441258,1492,322272
88,0.397237,172348,37227168,0.00443072,1492,322272,0.00440657,1492,322272
96,0.467779,196220,42383520,0.00442241,1492,322272,0.00440763,1492,322272
104,0.538369,220092,47539872,0.00442859,1492,322272,0.00262032,1492,322272
112,0.573927,243964,52696224,0.00222604,1492,322272,0.0022177,1492,322272
120,0.609474,267836,57852576,0.00222935,1492,322272,0.00222065,1492,322272
128,0.645516,291708,63008928,0.0013085,868,187488,0.00128763,868,187488
136,0.692375,323516,69879456,0.00294593,1988,429408,0.00293592,1988,429408
144,0.73955,355324,76749984,0.00294898,1988,429408,0.00293963,1988,429408
152,0.7865,387132,83620512,0.00295123,1988,429408,0.00293546,1988,429408
160,0.833479,418940,90491040,0.00296823,1988,429408,0.00293415,1988,429408
168,0.880468,450748,97361568,0.00294998,1988,429408,0.0029419,1988,429408
176,0.927483,482556,104232096,0.0029483,1988,429408,0.00293409,1988,429408
184,0.974496,514364,111102624,0.00294879,1988,429408,0.00293517,1988,429408
192,1.02148,546172,117973152,0.00295044,1988,429408,0.0029354,1988,429408
200,1.06846,577980,124843680,0.00294714,1988,429408,0.00293271,1988,429408
208,1.11547,609788,131714208,0.00294797,1988,429408,0.00293177,1988,429408
216,1.16242,641596,138584736,0.0029473,1988,429408,0.00293301,1988,429408
224,1.20941,673404,145455264,0.00294435,1988,429408,0.0029305,1988,429408
232,1.25973,705212,152325792,0.00295004,1988,429408,0.00293911,1988,429408
240,1.30675,737020,159196320,0.0029481,1988,429408,0.00293766,1988,429408
248,1.35379,768828,166066848,0.00295005,1988,429408,0.00293898,1988,429408
256,1.40092,800636,172937376,0.00165958,1120,241920,0.00165173,1120,241920
264,1.46004,841020,181660320,0.00372618,2524,545184,0.00370626,2524,545184
272,1.51941,881404,190383264,0.00372721,2524,545184,0.00372458,2524,545184
280,1.57881,921788,199106208,0.00372631,2524,545184,0.00373313,2524,545184
288,1.63817,962172,207829152,0.00372876,2524,545184,0.00371196,2524,545184
296,1.69769,1002556,216552096,0.00374395,2524,545184,0.00371034,2524,545184
304,1.75705,1042940,225275040,0.0037291,2524,545184,0.0037094,2524,545184
312,1.81659,1083324,233997984,0.00372685,2524,545184,0.00370909,2524,545184
320,1.876,1123708,242720928,0.00372742,2524,545184,0.00370454,2524,545184
328,1.93537,1164092,251443872,0.00373236,2524,545184,0.00371255,2524,545184
336,1.99478,1204476,260166816,0.00372846,2524,545184,0.00370903,2524,545184
344,2.05421,1244860,268889760,0.00372917,2524,545184,0.00370982,2524,545184
352,2.11366,1285244,277612704,0.0037348,2524,545184,0.00371165,2524,545184
360,2.17308,1325628,286335648,0.00372917,2524,545184,0.00370765,2524,545184
368,2.23276,1366012,295058592,0.00373299,2524,545184,0.00371091,2524,545184
376,2.29219,1406396,303781536,0.00372669,2524,545184,0.00404083,2524,545184
384,2.3516,1446780,312504480,0.00372875,2524,545184,0.0037062,2524,545184
392,2.41102,1487164,321227424,0.00372776,2524,545184,0.00371207,2524,545184
400,2.47137,1527548,329950368,0.00373603,2524,545184,0.00372628,2524,545184
408,2.53079,1567932,338673312,0.00372604,2524,545184,0.00370625,2524,545184
416,2.59016,1608316,347396256,0.00372234,2524,545184,0.00370497,2524,545184
424,2.64957,1648700,356119200,0.0037273,2524,545184,0.00370799,2524,545184
432,2.70897,1689084,364842144,0.00372586,2524,545184,0.00370623,2524,545184
440,2.76833,1729468,373565088,0.00372691,2524,545184,0.00370882,2524,545184
448,2.82769,1769852,382288032,0.00372353,2524,545184,0.00370111,2524,545184
456,2.88706,1810236,391010976,0.00372094,2524,545184,0.00370694,2524,545184
464,2.94645,1850620,399733920,0.00372261,2524,545184,0.00370368,2524,545184
472,3.00592,1891004,408456864,0.00372578,2524,545184,0.0037059,2524,545184
480,3.06532,1931388,417179808,0.00372466,2524,545184,0.00371594,2524,545184
488,3.12468,1971772,425902752,0.00372739,2524,545184,0.00371007,2524,545184
496,3.18411,2012156,434625696,0.00371972,2524,545184,0.00371368,2524,545184
504,3.24354,2052540,443348640,0.00372854,2524,545184,0.00371356,2524,545184
512,3.30305,2092924,452071584,0.00206814,1404,303264,0.00205969,1404,303264
520,3.37675,2143548,463006368,0.00465218,3164,683424,0.00463053,3164,683424
528,3.45095,2194172,473941152,0.00465093,3164,683424,0.0046296,3164,683424
536,3.52534,2244796,484875936,0.00466043,3164,683424,0.00464198,3164,683424
544,3.59958,2295420,495810720,0.00466426,3164,683424,0.00463559,3164,683424
552,3.67381,2346044,506745504,0.00466326,3164,683424,0.00464017,3164,683424
560,3.748,2396668,517680288,0.0046584,3164,683424,0.00463444,3164,683424
568,3.82221,2447292,528615072,0.00467977,3164,683424,0.00463569,3164,683424
576,3.91618,2497916,539549856,0.00939045,3164,683424,0.00937196,3164,683424
584,4.06587,2548540,550484640,0.00935426,3164,683424,0.00933794,3164,683424
592,4.21543,2599164,561419424,0.00936641,3164,683424,0.00934115,3164,683424
600,4.36486,2649788,572354208,0.00936959,3164,683424,0.00933961,3164,683424
608,4.51421,2700412,583288992,0.00937343,3164,683424,0.00933075,3164,683424
616,4.66352,2751036,594223776,0.00935617,3164,683424,0.00932648,3164,683424
624,4.81287,2801660,605158560,0.00935949,3164,683424,0.00934427,3164,683424
632,4.96214,2852284,616093344,0.0093492,3164,683424,0.00932655,3164,683424
640,5.11136,2902908,627028128,0.00934348,3164,683424,0.0093314,3164,683424
648,5.26085,2953532,637962912,0.00936698,3164,683424,0.00934592,3164,683424
656,5.41009,3004156,648897696,0.00934882,3164,683424,0.00932646,3164,683424
664,5.5595,3054780,659832480,0.00935953,3164,683424,0.00934065,3164,683424
672,5.70889,3105404,670767264,0.00935968,3164,683424,0.00934092,3164,683424
680,5.85828,3156028,681702048,0.00935244,3164,683424,0.00933949,3164,683424
688,6.00772,3206652,692636832,0.00935786,3164,683424,0.00933933,3164,683424
696,6.15695,3257276,703571616,0.00935053,3164,683424,0.00934171,3164,683424
704,6.30632,3307900,714506400,0.00934212,3164,683424,0.00934338,3164,683424
712,6.4558,3358524,725441184,0.00936437,3164,683424,0.00933825,3164,683424
720,6.60526,3409148,736375968,0.00935628,3164,683424,0.00933945,3164,683424
728,6.75465,3459772,747310752,0.00935593,3164,683424,0.0093452,3164,683424
736,6.90383,3510396,758245536,0.00934692,3164,683424,0.00934215,3164,683424
744,7.05309,3561020,769180320,0.00935768,3164,683424,0.00932615,3164,683424
752,7.20248,3611644,780115104,0.00936208,3164,683424,0.00933303,3164,683424
760,7.35183,3662268,791049888,0.00935852,3164,683424,0.00934087,3164,683424
768,7.50123,3712892,801984672,0.00935712,3164,683424,0.00933537,3164,683424
776,7.65051,3763516,812919456,0.00934377,3164,683424,0.00932732,3164,683424
784,7.7999,3814140,823854240,0.00935176,3164,683424,0.00933573,3164,683424
792,7.94923,3864764,834789024,0.0093488,3164,683424,0.00932878,3164,683424
800,8.09867,3915388,845723808,0.00936359,3164,683424,0.00933671,3164,683424
808,8.24814,3966012,856658592,0.00613658,3164,683424,0.00464085,3164,683424
816,8.32238,4016636,867593376,0.00466146,3164,683424,0.00463763,3164,683424
824,8.39679,4067260,878528160,0.00465975,3164,683424,0.00464377,3164,683424
832,8.47112,4117884,889462944,0.00465815,3164,683424,0.00465203,3164,683424
840,8.54542,4168508,900397728,0.00465336,3164,683424,0.0046385,3164,683424
848,8.61992,4219132,911332512,0.00465811,3164,683424,0.00463786,3164,683424
856,8.69446,4269756,922267296,0.00467045,3164,683424,0.00464514,3164,683424
864,8.76881,4320380,933202080,0.00470762,3164,683424,0.00464296,3164,683424
872,8.84319,4371004,944136864,0.0046654,3164,683424,0.00464273,3164,683424
880,8.91767,4421628,955071648,0.00466242,3164,683424,0.00465875,3164,683424
888,8.99197,4472252,966006432,0.00465979,3164,683424,0.00463998,3164,683424
896,9.06618,4522876,976941216,0.00466732,3164,683424,0.00462986,3164,683424
904,9.1406,4573500,987876000,0.00465559,3164,683424,0.00463573,3164,683424
912,9.21476,4624124,998810784,0.00464972,3164,683424,0.00462829,3164,683424
920,9.2889,4674748,1009745568,0.00468828,3164,683424,0.00464227,3164,683424
928,9.36305,4725372,1020680352,0.0046495,3164,683424,0.00463012,3164,683424
