,n,alloc,init,init_accesses,init_bytes,fill,fill_accesses,fill_bytes,read,read_accesses,read_bytes,rar,rar_accesses,rar_bytes
0,1,5.955e-06,0.000120857,2,240,0.000158,22,2640,1.102e-06,1,120,1.60209e-05,11,1320
1,2,6.902e-06,0.000182473,4,480,0.000364244,68,8160,1.9496e-06,1,120,4.28786e-05,17,2040
2,3,7.264e-06,0.000192696,8,960,0.000677738,184,22080,1.9637e-06,1,120,4.82245e-05,23,2760
3,4,7.958e-06,0.000249652,16,1920,0.00130583,464,55680,1.9493e-06,1,120,6.8068e-05,29,3480
4,5,6.89e-06,0.000161669,32,3840,0.00158983,1120,134400,1.0078e-06,1,120,5.46315e-05,35,4200
5,6,1.1723e-05,0.000382142,64,7680,0.00683868,2624,314880,2.0406e-06,1,120,0.000102894,41,4920
6,7,1.7906e-05,0.000616126,128,15360,0.016144,6016,721920,2.0367e-06,1,120,0.000124246,47,5640
7,8,3.1642e-05,0.00104673,256,30720,0.0361473,13568,1628160,2.0427e-06,1,120,0.000135297,53,6360
8,9,5.0484e-05,0.00190886,512,61440,0.078991,30208,3624960,2.0795e-06,1,120,0.000149461,59,7080
9,10,9.5519e-05,0.00373146,1024,122880,0.148245,66560,7987200,2.0614e-06,1,120,0.000164285,65,7800
10,11,0.000197271,0.00720111,2048,245760,0.375801,145408,17448960,2.0333e-06,1,120,0.000178887,71,8520
11,12,0.000406104,0.0143362,4096,491520,0.531949,315392,37847040,2.0517e-06,1,120,0.000194546,77,9240
12,13,0.000794286,0.0281508,8192,983040,1.46741,679936,81592320,1.0594e-06,1,120,0.000110254,83,9960
13,14,0.00125002,0.0285998,16384,1966080,1.88188,1458176,174981120,1.0414e-06,1,120,0.000112681,89,10680
14,15,0.00242734,0.0563575,32768,3932160,7.1168,3112960,373555200,1.1306e-06,1,120,0.000124565,95,11400
15,16,0.00484927,0.112988,65536,7864320,8.51889,6619136,794296320,1.0208e-06,1,120,0.000126629,101,12120
16,17,0.00974845,0.230158,131072,15728640,18.9408,14024704,1682964480,1.0185e-06,1,120,0.000140155,107,12840
17,18,0.0194684,0.455037,262144,31457280,39.5062,29622272,3554672640,1.0342e-06,1,120,0.000145893,113,13560
18,19,0.0385492,0.898747,524288,62914560,82.5781,62390272,7486832640,1.0171e-06,1,120,0.000154962,119,14280
19,20,0.0773606,1.79842,1048576,125829120,214.837,131072000,15728640000,1.032e-06,1,120,0.00016387,125,15000
20,21,0.154607,3.56943,2097152,251658240,355.713,274726912,32967229440,1.0157e-06,1,120,0.000166562,131,15720
21,22,0.309784,7.20507,4194304,503316480,795.133,574619648,68954357760,1.1455e-06,1,120,0.000186795,137,16440
22,23,0.618692,14.305,8388608,1006632960,1611.02,1199570944,143948513280,1.0365e-06,1,120,0.000188705,143,17160
23,24,1.23667,29.2283,16777216,2013265920,3348.21,2499805184,299976622080,1.0713e-06,1,120,0.000195977,149,17880
