n,alloc,init,init_accesses,init_bytes,fill,fill_accesses,fill_bytes,rar,rar_accesses,rar_bytes
1,7.639e-06,0.000186854,1,152,0.000207259,4,608,5.8815e-06,2,304
2,6.648e-06,0.000176966,3,456,0.000232609,16,2432,1.1603e-05,4,608
3,9.983e-06,0.000196695,7,1064,0.000349013,48,7296,1.7129e-05,6,912
4,9.561e-06,0.000216715,15,2280,0.000600458,128,19456,2.23305e-05,8,1216
5,8.542e-06,0.00027458,31,4712,0.00122553,320,48640,2.81831e-05,10,1520
6,1.1436e-05,0.000366956,63,9576,0.00255766,768,116736,3.29685e-05,12,1824
7,1.4939e-05,0.000612106,127,19304,0.00408706,1792,272384,1.88479e-05,14,2128
8,2.1864e-05,0.00103268,255,38760,0.0127341,4096,622592,3.97592e-05,16,2432
9,3.3518e-05,0.00192597,511,77672,0.0279013,9216,1400832,2.44122e-05,18,2736
10,4.45e-05,0.00193907,1023,155496,0.0605917,20480,3112960,5.59768e-05,20,3040
11,0.000123353,0.0073262,2047,311144,0.138257,45056,6848512,6.22089e-05,22,3344
12,0.000246919,0.0143151,4095,622440,0.290669,98304,14942208,6.58443e-05,24,3648
13,0.00051046,0.0284963,8191,1245032,0.573854,212992,32374784,3.51565e-05,26,3952
14,0.000772784,0.0281123,16383,2490216,1.24943,458752,69730304,7.75831e-05,28,4256
15,0.00201951,0.113042,32767,4980584,2.31848,983040,149422080,4.23308e-05,30,4560
16,0.00311934,0.112257,65535,9961320,3.02922,2097152,318767104,4.30219e-05,32,4864
17,0.00624255,0.224648,131071,19922792,6.48124,4456448,677380096,4.58564e-05,34,5168
18,0.0124753,0.452367,262143,39845736,19.368,9437184,1434451968,9.76125e-05,36,5472
19,0.03228,1.82166,524287,79691624,58.0975,19922944,3028287488,0.000106092,38,5776
20,0.063654,3.65964,1048575,159383400,121.369,41943040,6375342080,0.000109246,40,6080
21,0.127816,7.46268,2097151,318766952,238.363,88080384,13388218368,5.61597e-05,42,6384
22,0.198943,7.20787,4194303,637534056,267.941,184549376,28051505152,5.91324e-05,44,6688
23,0.396467,14.385,8388607,1275068264,566.007,385875968,58653147136,6.42899e-05,46,6992
24,0.79075,28.6698,16777215,2550136680,1417.44,805306368,122406567936,6.41355e-05,48,7296
